@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25'

@attribute Gender {Male,Female,Unknown,Combo}
@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute WordCount numeric
@attribute FleschReading numeric
@attribute OT numeric
@attribute NT numeric
@attribute BoM numeric
@attribute DC numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute StoryNames numeric
@attribute TalkingSpeed numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInItalics numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
Female,0.22,0.48,700,5.61,0,0,0,2,0,0,4,2.685917,0,2,334,18,0.257143,0,216,911,4,2017,n
Female,0.2,0.52,4819,7.17,0,1,3,2,2,8,15,2.697499,7,52.267,1413,121,0.064744,0,2080,911,3,2012,y
Male,0.19,0.52,3774,5.61,4,9,11,2,2,29,9,2.591767,11,47.368,1090,24,0.133545,0,4250,62900,4,2006,y
Male,0.22,0.51,1466,7.18,0,2,4,5,2,9,3,2.274777,0,112,650,8,0.042292,0,4234,62900,4,2006,n
Male,0.15,0.46,3659,6.79,0,0,4,2,0,6,7,2.260729,13,103.361,1195,42,0.229024,0.00328,2500,62900,1,2011,n
Unknown,0.17,0.53,5892,7.17,4,4,7,2,7,24,17,0.5892,5,65.761,1541,115,0.137814,0,13051,62900,3,1982,n
Unknown,0.22,0.5,5196,4.44,2,1,4,3,4,17,2,2.46838,21,211.75,1305,20,0.224788,0,6742,62900,6,1999,y
Unknown,0.15,0.53,4696,7.56,1,2,2,0,1,11,8,2.575857,11,172.34,1328,40,0.267249,0,12209,19600,6,1984,n
Female,0.15,0.52,4052,6,1,2,0,3,0,4,10,0.4052,5,288.3,1323,72,0.121915,0,12916,720,7,1982,n
Male,0.14,0.5,3968,5.62,0,2,13,30,0,20,14,2.606046,13,24.891,1330,69,0.063004,0.014617,1394,174000,2,2014,y
Male,0.17,0.49,3609,8.74,1,1,0,0,0,2,8,0.3609,2,295.84,1130,46,0.07509,0,15492,174000,7,1975,n
Female,0.13,0.47,4520,5.21,0,1,3,1,0,4,9,0.452,0,108.333,1463,100,0.130531,0.000885,11992,6310,1,1985,n
Female,0.14,0.49,6367,4.83,1,7,9,0,0,20,16,0.6367,7,145.329,1773,117,0.088425,0.003141,11259,6310,2,1987,n
Female,0.18,0.5,5611,5.21,2,3,6,5,3,16,10,3.196864,5,156.8,1505,112,0.095883,0,8058,3810000,11,1995,n
Female,0.17,0.5,5536,4.82,0,3,6,8,1,14,14,3.405825,5,204.082,1603,125,0.115426,0.002529,10405,3810000,6,1989,n
Female,0.15,0.52,4262,4.44,2,3,10,3,0,21,12,3.327026,9,900,1324,70,0.083294,0.006335,4962,3810000,4,2004,n
Female,0.18,0.49,4876,6.39,0,2,4,2,0,8,7,0.4876,7,151.758,1334,85,0.048195,0.002051,13357,71400,5,1981,n
Female,0.14,0.51,5522,6,0,1,3,4,0,6,15,0.5522,3,173.255,1757,88,0.063926,0.001449,9878,8150,11,1990,n
Male,0.17,0.47,3764,5.62,4,10,10,17,2,29,27,2.781829,4,1452,1540,33,0.018066,0,4530,8150,7,2005,n
Male,0.22,0.49,5683,6,0,0,1,0,0,1,11,2.697835,1,38.007,1196,160,0.014429,0,3200,216000,2,2009,y
Unknown,0.19,0.5,3455,4.82,0,0,5,4,1,13,14,1.978765,7,66.692,1060,51,0.166136,0,9150,67100,11,1992,n
Female,0.16,0.5,3407,4.82,1,2,5,0,2,11,8,2.430373,10,181.73,1034,58,0.033461,0,2829,493000,3,2010,n
Female,0.18,0.52,4748,7.17,0,0,1,0,0,1,13,0.4748,2,35.2,1442,48,0.147852,0,15261,14600,2,1976,n
Female,0.23,0.52,6383,4.82,0,2,0,6,0,2,15,2.295067,29,16.569,1802,116,0.216043,0,12342,14600,2,1984,n
Female,0.24,0.53,6516,5.22,1,0,0,6,0,3,26,0.6516,11,15.667,1739,91,0.01504,0.107735,13450,14600,2,1981,n
Female,0.26,0.55,5054,7.95,1,3,1,0,0,6,5,0.5054,5,168.1,1299,47,0.048279,0,14538,14600,2,1978,n
Female,0.16,0.5,4437,7.56,2,2,0,5,0,4,17,0.4437,8,23.674,1385,36,0.06288,0,13070,14600,2,1982,n
Female,0.16,0.52,2314,7.95,0,0,0,1,0,1,4,1.467359,6,110.25,800,76,0.010372,0,3221,14600,2,2009,n
Female,0.25,0.58,6458,4.43,1,4,8,0,2,23,21,2.638283,16,302.286,1623,92,0.120935,0,9332,14600,5,1992,n
Female,0.15,0.48,4726,5.22,0,0,1,2,0,3,28,0.4726,4,175.562,1632,26,0.5438,0,10697,788000,8,1988,n
Female,0.16,0.52,4296,5.61,0,0,1,2,1,7,15,0.4296,19,89.78,1410,49,0.185521,0,10123,1840000,3,1990,n
Female,0.23,0.55,5074,4.43,0,3,2,4,0,7,10,0.5074,5,121,1462,121,0.25542,0,11103,1840000,7,1987,n
Female,0.12,0.56,3624,4.43,0,4,1,6,1,8,6,0.3624,4,52.9,1133,95,0.461921,0,11705,11100000,11,1985,n
Female,0.19,0.54,3507,5.22,0,3,2,1,0,8,16,0.3507,12,68.45,1247,64,0.28657,0,10552,11100000,1,1989,n
Female,0.14,0.47,1629,8.35,0,0,0,6,0,0,11,1.701123,7,17.308,702,29,0.013505,0,216,20200,4,2017,n
Male,0.18,0.51,4047,4.82,1,8,3,1,6,20,22,2.510239,0,201.667,1229,44,0.166543,0,869,20200,7,2015,n
Male,0.16,0.53,3618,5.6,0,1,2,3,0,6,6,2.805568,0,35.267,1049,153,0.023217,0,5160,20200,10,2003,n
Male,0.18,0.46,5396,6,1,7,28,6,3,65,6,2.270677,7,79.529,1418,69,0.055597,0,3951,3530,2,2007,n
Male,0.2,0.56,4760,7.56,0,1,7,3,0,8,10,2.806992,9,192.045,1232,85,0.017017,0,5881,546000,10,2001,n
Female,0.22,0.49,3247,7.95,0,0,0,3,0,1,13,0.3247,37,35.579,988,69,0.019095,0.000616,16255,546000,5,1973,n
Female,0.23,0.53,3400,7.57,3,1,1,0,0,5,7,2.20518,20,49,1096,41,0.075882,0.001765,15632,8800,2,1975,n
Male,0.18,0.49,6825,6,0,2,2,1,1,10,15,3.304398,21,35.133,1766,153,0.384762,0,7736,8800,9,1996,n
Male,0.17,0.48,6568,4.43,1,3,8,3,1,21,22,3.166363,19,290.113,1783,102,0.211784,0,5869,8800,11,2001,n
Male,0.19,0.5,4890,5.6,1,6,7,6,0,16,15,3.057188,19,103.5,1476,94,0.26135,0,6777,8800,5,1999,n
Male,0.15,0.51,3619,4.43,1,1,3,7,0,7,11,1.936161,33,24.596,982,35,0.183476,0,13791,8800,2,1980,n
Male,0.2,0.52,6122,4.04,7,25,2,0,0,38,10,0.6122,3,17.241,1212,68,0.092617,0,14059,4110,6,1979,n
Male,0.22,0.59,5042,4.04,3,17,2,1,1,40,8,0.5042,4,8.982,1086,35,0.185839,0,15956,10200,3,1974,n
Female,0.16,0.53,1109,7.18,1,0,0,1,0,3,5,2.739128,0,12.5,529,40,0.20018,0,839,11600,8,2015,n
Female,0.22,0.52,3317,4.43,2,8,0,1,0,10,12,2.509019,3,50.973,1048,44,0.085017,0,3522,11600,4,2008,n
Male,0.16,0.44,4482,7.56,0,3,7,6,0,11,12,2.969229,6,72.25,1126,130,0.137439,0,554,11600,5,2016,n
Female,0.18,0.49,4122,6.01,0,0,3,0,0,6,5,2.825769,14,96.023,1421,36,0.373848,0,722,22200,12,2015,n
Female,0.16,0.51,2143,5.61,0,0,1,1,0,1,7,2.385323,2,13.729,901,39,0.016332,0,4493,22200,8,2005,n
Female,0.19,0.5,4665,4.83,0,4,1,1,0,5,20,2.290405,19,88.021,1361,93,0.303323,0.001715,3942,22200,2,2007,y
Female,0.18,0.56,6094,3.26,5,9,6,3,16,40,7,2.814236,18,5.399,1557,77,0.084673,0,5015,22200,3,2004,n
Female,0.16,0.49,4265,5.61,1,0,1,8,2,10,15,2.911528,16,27.557,1254,88,0.151231,0.004924,358,22200,12,2016,n
Male,0.19,0.54,5916,6.78,0,0,0,6,0,3,13,0.5916,4,77.824,1498,109,0.050034,0,15277,22200,2,1976,y
Male,0.12,0.46,4270,5.21,0,1,0,0,0,2,7,0.427,10,57.075,1090,102,0.029508,0,16318,22200,3,1973,n
Male,0.13,0.53,4262,4.43,1,14,5,1,8,35,16,2.13498,2,248.067,1312,40,0.1626,0,3025,22200,8,2009,n
Male,0.15,0.48,5235,5.6,1,2,0,1,0,4,11,0.5235,14,158.081,1300,160,0.085769,0,14929,22200,1,1977,n
Male,0.15,0.49,5740,3.65,1,11,9,6,5,40,4,2.597906,7,31.61,1404,155,0.051916,0,5414,22200,2,2003,y
Male,0.17,0.48,3432,3.65,0,5,27,0,0,34,4,2.137448,7,23.347,1008,39,0.156177,0,3970,22200,1,2007,y
Male,0.14,0.46,4664,6,0,0,3,2,0,7,12,0.4664,9,9.184,1300,42,0.111707,0,13814,22200,2,1980,y
Male,0.13,0.43,2569,5.6,5,0,0,1,0,5,10,0.2569,1,64.692,859,50,0.042818,0,11719,22200,10,1985,n
Male,0.13,0.43,5283,7.57,0,0,0,1,0,12,6,0.5283,11,39.273,1515,55,0.030286,0,9787,22200,2,1991,n
Male,0.09,0.51,6217,6.78,2,1,4,0,0,10,6,0.6217,4,40.761,1447,100,0.039247,0,15613,22200,3,1975,y
Male,0.1,0.43,4956,5.61,1,1,7,0,0,10,33,0.4956,50,16.568,1558,68,0.122276,0,8128,22200,8,1995,n
Male,0.12,0.51,4356,3.65,2,7,15,1,0,26,8,1.993392,10,15.75,1224,69,0.007346,0,2215,22200,11,2011,n
Male,0.17,0.47,4609,6,0,0,1,0,1,7,17,3.307869,11,252.083,1553,54,0.090692,0,4257,22200,4,2006,n
Male,0.19,0.44,3732,7.18,0,2,2,3,0,4,9,2.802004,18,36.364,1158,60,0.10343,0.003483,4677,22200,2,2005,n
Male,0.14,0.5,3590,3.66,0,8,8,5,0,19,8,1.859988,6,147.846,1047,78,0.032591,0.027577,2332,22200,7,2011,y
Male,0.12,0.48,2284,3.26,4,2,2,0,0,8,10,2.595455,3,10.051,831,22,0.066112,0.053415,216,22200,4,2017,n
Male,0.14,0.41,6591,7.18,1,6,3,12,0,12,40,3.911195,10,245,1835,67,0.152177,0,6623,22200,10,1999,n
Male,0.19,0.55,5402,7.97,1,0,0,1,0,1,24,2.475426,0,88.048,1558,132,0.034061,0,197,22200,5,2017,y
Male,0.23,0.52,4165,7.17,0,1,3,1,1,7,12,2.471777,10,141.067,1105,133,0.022329,0,1268,22200,6,2014,n
Male,0.08,0.49,7188,6.39,1,6,6,1,0,15,25,0.7188,18,336.067,1954,51,0.100584,0,7435,22200,7,1997,y
Male,0.21,0.49,9445,4.83,1,2,3,0,0,19,17,0.9445,74,364.547,2014,154,0.264055,0.007941,2660,22200,8,2010,y
Male,0.19,0.55,5402,7.97,1,0,0,3,0,1,24,2.475426,0,88.048,1558,132,0.034061,0,197,22200,5,2017,n
Male,0.13,0.42,537,8.35,0,0,0,4,0,0,2,0.0537,0,0.143,287,16,0.052142,0,5221,22200,8,2003,n
Male,0.15,0.45,7848,9.54,0,0,0,2,0,1,18,0.7848,21,336.067,2025,41,0.064857,0.003568,1926,22200,8,2012,n
Male,0.15,0.49,5921,9.14,0,0,0,1,0,2,21,0.5921,42,196,1853,32,0.144739,0,1191,22200,8,2014,n
Male,0.13,0.48,6363,8.36,0,0,1,1,0,4,26,0.6363,18,156.457,1871,51,0.071036,0.003772,464,22200,8,2016,n
Male,0.19,0.53,5997,8.75,2,3,3,1,1,11,23,0.5997,12,456.333,1983,75,0.092213,0,1555,22200,8,2013,n
Male,0.12,0.45,6532,8.75,2,0,1,2,1,11,20,0.6532,11,211.25,1932,60,0.078843,0.001837,828,22200,8,2015,n
Male,0.14,0.48,4807,8.35,1,0,13,2,0,14,8,2.241934,2,49,1456,49,0.069066,0,6770,22200,5,1999,n
Male,0.13,0.47,10442,5.22,2,8,10,9,4,31,34,3.829386,13,225.781,2546,219,0.061961,0.003256,407,22200,10,2016,y
Male,0.16,0.53,5447,5.22,1,15,15,2,2,36,21,2.894466,3,272.25,1559,94,0.085552,0,3123,22200,5,2009,y
Male,0.15,0.48,4024,6.4,0,3,1,0,0,7,20,2.516308,5,3.71,1460,61,0.028827,0.004473,3697,22200,10,2007,n
Male,0.12,0.47,3365,4.43,0,1,1,4,0,8,14,1.945533,4,57.042,1227,100,0.085587,0.003566,1632,22200,6,2013,n
Male,0.26,0.57,1017,5.22,0,0,2,1,0,5,5,0.1017,0,484,470,11,0.083579,0,2778,22200,4,2010,n
Male,0.15,0.5,1072,8.73,0,1,0,6,0,1,3,3.31968,0,51.2,522,15,0.076493,0,4857,22200,8,2004,n
Male,0.15,0.53,4956,6.78,6,1,0,0,0,7,12,3.243093,2,5.634,1423,113,0.021388,0,5685,912000,5,2002,y
Male,0.16,0.48,4905,9.53,0,0,3,2,0,3,21,0.4905,2,122.5,1582,73,0.01896,0,9956,7700,8,1990,n
Male,0.14,0.48,4604,9.53,0,2,0,2,1,3,16,0.4604,11,271.348,1574,37,0.006299,0,9592,13200000,8,1991,n
Male,0.17,0.46,6673,9.13,0,0,5,5,1,11,19,0.6673,4,883.6,1918,55,0.004196,0.00045,8129,13200000,8,1995,n
Male,0.17,0.52,4897,4.05,1,7,18,5,5,37,27,2.374369,15,208.333,1564,43,0.004697,0.011027,3585,7020,2,2008,y
Male,0.13,0.47,5989,8.35,0,0,8,1,0,8,34,0.5989,2,276.923,1827,40,0.004174,0.001002,9227,7020,8,1992,n
Male,0.14,0.53,5746,6,4,1,1,2,2,13,17,2.613694,12,13.299,1805,64,0.098155,0.001044,12877,7020,8,1982,y
