@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7,9,12-13,15,18,21-22'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute AuthorityMentions numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.22,0.59,3,2,1,40,4,1086,35,0,15956,1974,n
0.16,0.53,1,0,0,3,0,529,40,0,839,2015,n
0.22,0.52,2,0,0,10,3,1048,44,0,3522,2008,n
0.16,0.44,0,7,0,11,6,1126,130,0,554,2016,n
0.18,0.49,0,3,0,6,14,1421,36,0,722,2015,n
0.16,0.51,0,1,0,1,2,901,39,0,4493,2005,n
0.19,0.5,0,1,0,5,19,1361,93,0.001715,3942,2007,y
0.18,0.56,5,6,16,40,18,1557,77,0,5015,2004,n
0.16,0.49,1,1,2,10,16,1254,88,0.004924,358,2016,n
0.19,0.54,0,0,0,3,4,1498,109,0,15277,1976,y
0.12,0.46,0,0,0,2,10,1090,102,0,16318,1973,n
0.13,0.53,1,5,8,35,2,1312,40,0,3025,2009,n
0.15,0.48,1,0,0,4,14,1300,160,0,14929,1977,n
0.15,0.49,1,9,5,40,7,1404,155,0,5414,2003,y
0.17,0.48,0,27,0,34,7,1008,39,0,3970,2007,y
0.14,0.46,0,3,0,7,9,1300,42,0,13814,1980,y
0.13,0.43,5,0,0,5,1,859,50,0,11719,1985,n
0.13,0.43,0,0,0,12,11,1515,55,0,9787,1991,n
0.09,0.51,2,4,0,10,4,1447,100,0,15613,1975,y
0.1,0.43,1,7,0,10,50,1558,68,0,8128,1995,n
0.12,0.51,2,15,0,26,10,1224,69,0,2215,2011,n
0.17,0.47,0,1,1,7,11,1553,54,0,4257,2006,n
0.19,0.44,0,2,0,4,18,1158,60,0.003483,4677,2005,n
0.14,0.5,0,8,0,19,6,1047,78,0.027577,2332,2011,y
0.12,0.48,4,2,0,8,3,831,22,0.053415,216,2017,n
0.14,0.41,1,3,0,12,10,1835,67,0,6623,1999,n
0.19,0.55,1,0,0,1,0,1558,132,0,197,2017,y
0.23,0.52,0,3,1,7,10,1105,133,0,1268,2014,n
0.08,0.49,1,6,0,15,18,1954,51,0,7435,1997,y
0.21,0.49,1,3,0,19,74,2014,154,0.007941,2660,2010,y
0.19,0.55,1,0,0,1,0,1558,132,0,197,2017,n
0.13,0.42,0,0,0,0,0,287,16,0,5221,2003,n
0.15,0.45,0,0,0,1,21,2025,41,0.003568,1926,2012,n
0.15,0.49,0,0,0,2,42,1853,32,0,1191,2014,n
0.13,0.48,0,1,0,4,18,1871,51,0.003772,464,2016,n
0.19,0.53,2,3,1,11,12,1983,75,0,1555,2013,n
0.12,0.45,2,1,1,11,11,1932,60,0.001837,828,2015,n
0.14,0.48,1,13,0,14,2,1456,49,0,6770,1999,n
0.13,0.47,2,10,4,31,13,2546,219,0.003256,407,2016,y
0.16,0.53,1,15,2,36,3,1559,94,0,3123,2009,y
0.15,0.48,0,1,0,7,5,1460,61,0.004473,3697,2007,n
0.12,0.47,0,1,0,8,4,1227,100,0.003566,1632,2013,n
0.26,0.57,0,2,0,5,0,470,11,0,2778,2010,n
0.15,0.5,0,0,0,1,0,522,15,0,4857,2004,n
0.15,0.53,6,0,0,7,2,1423,113,0,5685,2002,y
0.16,0.48,0,3,0,3,2,1582,73,0,9956,1990,n
0.14,0.48,0,0,1,3,11,1574,37,0,9592,1991,n
0.17,0.46,0,5,1,11,4,1918,55,0.00045,8129,1995,n
0.17,0.52,1,18,5,37,15,1564,43,0.011027,3585,2008,y
0.13,0.47,0,8,0,8,2,1827,40,0.001002,9227,1992,n
0.14,0.53,4,1,2,13,12,1805,64,0.001044,12877,1982,y
0.17,0.53,1,1,0,4,10,1724,123,0.00119,14204,1979,y
0.13,0.42,1,2,0,3,9,1953,75,0,8500,1994,n
0.17,0.44,0,2,0,6,13,2078,47,0,8862,1993,n
0.12,0.45,0,3,0,7,3,1520,91,0,6231,2000,n
0.15,0.52,8,0,0,12,1,1079,38,0,3277,2008,n
0.18,0.53,0,2,0,6,3,1098,76,0,1821,2012,y
0.27,0.5,4,10,0,23,19,1629,59,0,7057,1998,n
0.22,0.47,0,8,0,9,8,1331,85,0,11453,1986,n
0.18,0.48,0,0,1,2,6,1341,30,0,8422,1994,n
0.26,0.52,0,0,0,1,3,552,8,0,3394,2008,n
0.18,0.47,0,0,0,1,4,507,10,0,3506,2008,n
0.18,0.46,0,0,0,5,10,1003,77,0,16346,1973,y
0.2,0.47,1,0,0,11,3,1043,50,0,14633,1977,y
0.27,0.51,1,1,1,11,7,1088,36,0,15060,1976,n
0.2,0.46,1,1,1,12,7,995,47,0,14332,1978,n
0.14,0.51,1,2,1,18,3,1198,18,0,12015,1985,y
0.14,0.48,1,2,0,29,2,1145,46,0,13056,1982,y
0.19,0.49,0,2,0,7,3,1221,35,0,13695,1980,y
0.27,0.57,4,3,2,17,4,887,41,0,15338,1975,n
0.16,0.43,1,0,0,2,81,1002,37,0,16031,1974,n
0.15,0.48,5,6,0,28,3,1221,28,0,15646,1975,n
0.21,0.51,0,6,1,12,4,1179,19,0,12377,1984,y
0.16,0.51,0,14,5,25,1,924,7,0.115424,13434,1981,y
0.18,0.46,0,6,0,21,3,1270,90,0,2815,2010,n
0.17,0.52,0,2,0,5,2,1051,69,0,1478,2013,n
0.19,0.46,0,0,0,3,11,1494,25,0,3305,2008,n
0.14,0.56,0,7,0,19,3,1582,145,0,7988,1996,y
0.27,0.56,0,0,0,1,1,654,19,0,13598,1980,n
0.19,0.5,8,2,0,24,13,1509,35,0,8303,1995,n
0.2,0.58,2,12,0,32,3,1194,53,0,4961,2004,y
0.16,0.49,0,3,0,14,19,1295,43,0,988,2015,n
0.16,0.49,0,3,0,14,19,1295,43,0,988,2015,n
0.2,0.53,2,3,0,18,1,1187,70,0,14087,1979,n
0.08,0.49,4,8,1,17,18,1649,114,0,13079,1982,y
0.18,0.5,0,3,0,8,5,1192,79,0,13581,1980,n
0.18,0.48,0,3,1,11,8,1565,122,0,14724,1977,n
0.12,0.49,0,6,0,8,4,1142,69,0,11964,1985,n
0.12,0.46,4,8,1,28,9,1682,90,0,8051,1995,n
0.19,0.56,2,6,1,12,17,1253,124,0,15151,1976,n
0.11,0.49,5,7,1,26,6,1537,103,0,12314,1984,n
0.12,0.47,25,17,0,57,6,1622,92,0,9962,1990,n
0.11,0.45,0,1,0,1,3,1721,53,0,7001,1998,n
