@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7,9,13,18,21-22'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute StoryNames numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.12,0.56,0,1,1,8,6,4,52.9,1133,95,0,11705,1985,n
0.19,0.54,0,2,0,8,16,12,68.45,1247,64,0,10552,1989,n
0.14,0.47,0,0,0,0,11,7,17.308,702,29,0,216,2017,n
0.18,0.51,1,3,6,20,22,0,201.667,1229,44,0,869,2015,n
0.16,0.53,0,2,0,6,6,0,35.267,1049,153,0,5160,2003,n
0.18,0.46,1,28,3,65,6,7,79.529,1418,69,0,3951,2007,n
0.2,0.56,0,7,0,8,10,9,192.045,1232,85,0,5881,2001,n
0.22,0.49,0,0,0,1,13,37,35.579,988,69,0.000616,16255,1973,n
0.23,0.53,3,1,0,5,7,20,49,1096,41,0.001765,15632,1975,n
0.18,0.49,0,2,1,10,15,21,35.133,1766,153,0,7736,1996,n
0.17,0.48,1,8,1,21,22,19,290.113,1783,102,0,5869,2001,n
0.19,0.5,1,7,0,16,15,19,103.5,1476,94,0,6777,1999,n
0.15,0.51,1,3,0,7,11,33,24.596,982,35,0,13791,1980,n
0.2,0.52,7,2,0,38,10,3,17.241,1212,68,0,14059,1979,n
0.22,0.59,3,2,1,40,8,4,8.982,1086,35,0,15956,1974,n
0.16,0.53,1,0,0,3,5,0,12.5,529,40,0,839,2015,n
0.22,0.52,2,0,0,10,12,3,50.973,1048,44,0,3522,2008,n
0.16,0.44,0,7,0,11,12,6,72.25,1126,130,0,554,2016,n
0.18,0.49,0,3,0,6,5,14,96.023,1421,36,0,722,2015,n
0.16,0.51,0,1,0,1,7,2,13.729,901,39,0,4493,2005,n
0.19,0.5,0,1,0,5,20,19,88.021,1361,93,0.001715,3942,2007,y
0.18,0.56,5,6,16,40,7,18,5.399,1557,77,0,5015,2004,n
0.16,0.49,1,1,2,10,15,16,27.557,1254,88,0.004924,358,2016,n
0.19,0.54,0,0,0,3,13,4,77.824,1498,109,0,15277,1976,y
0.12,0.46,0,0,0,2,7,10,57.075,1090,102,0,16318,1973,n
0.13,0.53,1,5,8,35,16,2,248.067,1312,40,0,3025,2009,n
0.15,0.48,1,0,0,4,11,14,158.081,1300,160,0,14929,1977,n
0.15,0.49,1,9,5,40,4,7,31.61,1404,155,0,5414,2003,y
0.17,0.48,0,27,0,34,4,7,23.347,1008,39,0,3970,2007,y
0.14,0.46,0,3,0,7,12,9,9.184,1300,42,0,13814,1980,y
0.13,0.43,5,0,0,5,10,1,64.692,859,50,0,11719,1985,n
0.13,0.43,0,0,0,12,6,11,39.273,1515,55,0,9787,1991,n
0.09,0.51,2,4,0,10,6,4,40.761,1447,100,0,15613,1975,y
0.1,0.43,1,7,0,10,33,50,16.568,1558,68,0,8128,1995,n
0.12,0.51,2,15,0,26,8,10,15.75,1224,69,0,2215,2011,n
0.17,0.47,0,1,1,7,17,11,252.083,1553,54,0,4257,2006,n
0.19,0.44,0,2,0,4,9,18,36.364,1158,60,0.003483,4677,2005,n
0.14,0.5,0,8,0,19,8,6,147.846,1047,78,0.027577,2332,2011,y
0.12,0.48,4,2,0,8,10,3,10.051,831,22,0.053415,216,2017,n
0.14,0.41,1,3,0,12,40,10,245,1835,67,0,6623,1999,n
0.19,0.55,1,0,0,1,24,0,88.048,1558,132,0,197,2017,y
0.23,0.52,0,3,1,7,12,10,141.067,1105,133,0,1268,2014,n
0.08,0.49,1,6,0,15,25,18,336.067,1954,51,0,7435,1997,y
0.21,0.49,1,3,0,19,17,74,364.547,2014,154,0.007941,2660,2010,y
0.19,0.55,1,0,0,1,24,0,88.048,1558,132,0,197,2017,n
0.13,0.42,0,0,0,0,2,0,0.143,287,16,0,5221,2003,n
0.15,0.45,0,0,0,1,18,21,336.067,2025,41,0.003568,1926,2012,n
0.15,0.49,0,0,0,2,21,42,196,1853,32,0,1191,2014,n
0.13,0.48,0,1,0,4,26,18,156.457,1871,51,0.003772,464,2016,n
0.19,0.53,2,3,1,11,23,12,456.333,1983,75,0,1555,2013,n
0.12,0.45,2,1,1,11,20,11,211.25,1932,60,0.001837,828,2015,n
0.14,0.48,1,13,0,14,8,2,49,1456,49,0,6770,1999,n
0.13,0.47,2,10,4,31,34,13,225.781,2546,219,0.003256,407,2016,y
0.16,0.53,1,15,2,36,21,3,272.25,1559,94,0,3123,2009,y
0.15,0.48,0,1,0,7,20,5,3.71,1460,61,0.004473,3697,2007,n
0.12,0.47,0,1,0,8,14,4,57.042,1227,100,0.003566,1632,2013,n
0.26,0.57,0,2,0,5,5,0,484,470,11,0,2778,2010,n
0.15,0.5,0,0,0,1,3,0,51.2,522,15,0,4857,2004,n
0.15,0.53,6,0,0,7,12,2,5.634,1423,113,0,5685,2002,y
0.16,0.48,0,3,0,3,21,2,122.5,1582,73,0,9956,1990,n
0.14,0.48,0,0,1,3,16,11,271.348,1574,37,0,9592,1991,n
0.17,0.46,0,5,1,11,19,4,883.6,1918,55,0.00045,8129,1995,n
0.17,0.52,1,18,5,37,27,15,208.333,1564,43,0.011027,3585,2008,y
0.13,0.47,0,8,0,8,34,2,276.923,1827,40,0.001002,9227,1992,n
0.14,0.53,4,1,2,13,17,12,13.299,1805,64,0.001044,12877,1982,y
0.17,0.53,1,1,0,4,9,10,162.5,1724,123,0.00119,14204,1979,y
0.13,0.42,1,2,0,3,27,9,432.64,1953,75,0,8500,1994,n
0.17,0.44,0,2,0,6,19,13,495.211,2078,47,0,8862,1993,n
0.12,0.45,0,3,0,7,15,3,28,1520,91,0,6231,2000,n
0.15,0.52,8,0,0,12,18,1,30.769,1079,38,0,3277,2008,n
0.18,0.53,0,2,0,6,10,3,158.065,1098,76,0,1821,2012,y
0.27,0.5,4,10,0,23,26,19,336.4,1629,59,0,7057,1998,n
0.22,0.47,0,8,0,9,20,8,115.6,1331,85,0,11453,1986,n
0.18,0.48,0,0,1,2,21,6,60.235,1341,30,0,8422,1994,n
0.26,0.52,0,0,0,1,6,3,3.846,552,8,0,3394,2008,n
0.18,0.47,0,0,0,1,4,4,0.381,507,10,0,3506,2008,n
0.18,0.46,0,0,0,5,10,10,66.618,1003,77,0,16346,1973,y
0.2,0.47,1,0,0,11,14,3,1021.455,1043,50,0,14633,1977,y
0.27,0.51,1,1,1,11,8,7,2232.562,1088,36,0,15060,1976,n
0.2,0.46,1,1,1,12,16,7,688.9,995,47,0,14332,1978,n
