@relation 'features-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R22,25'

@attribute Gender {Male,Female,Unknown,Combo}
@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute WordCount numeric
@attribute FleschReading numeric
@attribute OT numeric
@attribute NT numeric
@attribute BoM numeric
@attribute DC numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute StoryNames numeric
@attribute TalkingSpeed numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInItalics numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
Male,0.558824,0.481481,0.197812,0.880612,0,0.016393,0,0,0,0.021277,0.151899,0.037706,0.139344,0.199205,0.229558,0.07085,0.049067,0,0.135863,0.000001,0.636364,0.864,n
Male,0.441176,0.666667,0.283685,0.440816,0.038462,0.098361,0.101124,0,0,0.141844,0.202532,0.054468,0.122951,0.02648,0.301381,0.196356,0.183782,0,0.173346,0.000001,1,0.824,n
Male,0.5,0.407407,0.470669,0.720408,0.076923,0.04918,0.033708,0,0.0625,0.085106,0.341772,0.090967,0.188525,0.257415,0.472099,0.208502,0.192295,0,0.167552,0.000001,0.636364,0.832,n
Male,0.411765,0.555556,0.212592,0.40102,0,0.081967,0.067416,0.045455,0,0.092199,0.189873,0.322145,0.098361,0.039895,0.279834,0.234818,0.076462,0,0.12212,0.000314,0.363636,0.88,n
Male,0.294118,0.518519,0.194088,0.520408,0,0.04918,0.011236,0.068182,0,0.028369,0.037975,0.22744,0,0.139611,0.269337,0.176113,0.274226,0,0.010215,0.004313,0.454545,0.992,y
Male,0.352941,0.481481,0.302819,0.40102,0.076923,0.147541,0.022472,0.045455,0.0625,0.156028,0.265823,0.345193,0.090164,0.021705,0.446961,0.054656,0.247904,0,0.169229,0.000023,0.454545,0.832,n
Male,0.352941,0.296296,0.420314,0.441837,0.096154,0.016393,0.123596,0.159091,0.125,0.191489,0.797468,0.428559,0.409836,0.019859,0.470718,0.097166,0.153979,0,0.025766,0.000023,0.454545,0.976,y
Female,0.558824,0.592593,0.020738,0.680612,0,0,0,0.022727,0,0,0.075949,0.256314,0.008197,0.001927,0.033702,0.036437,0.110457,0,0.011238,0.004241,0.272727,0.992,n
Male,0.411765,0.592593,0.169684,0.281633,0,0.04918,0.05618,0.113636,0.125,0.085106,0.063291,0.240407,0.081967,0.003486,0.226519,0.052632,0.228173,0,0.013416,0.006923,0,0.992,n
Male,0.235294,0.518519,0.21368,0.521429,0,0.016393,0.078652,0,0,0.056738,0.050633,0.228975,0.090164,0.049996,0.291713,0.093117,0.155259,0,0.182646,0.001461,0.818182,0.816,y
