Gender,Polarity,Subjectivity,WordCount,FleschReading,OT,NT,BoM,DC,PoGP,AllScriptureCount,StoryNames,TalkingSpeed,AuthorityMentions,WeToYouRatio,WordQuantity,FirstPersonPronoun,PercentInItalics,PercentInQuotes,DaysElapsed,NameSearchResults,Pageviews,MonthGiven,YearGiven,Popular
Male,0.21,0.5,3909.0,10.7,0.0,1.0,0.0,0.0,0.0,3.0,13.0,0.3909,17.0,693.444,1104.0,35.0,0.03095420823740087,0.0,6309,225.0,265.0,8.0,2000.0,n
Male,0.17,0.55,5408.0,6.39,2.0,6.0,9.0,0.0,0.0,20.0,17.0,0.5408,15.0,92.19,1364.0,97.0,0.11593934911242604,0.0,8030,225.0,1084.0,12.0,1995.0,n
Male,0.19,0.48,8672.0,9.13,4.0,3.0,3.0,0.0,1.0,12.0,28.0,0.8672,23.0,896.073,1982.0,103.0,0.12130996309963099,0.0,7764,225.0,214.0,8.0,1996.0,n
Male,0.16,0.52,4167.0,6.0,0.0,5.0,6.0,2.0,0.0,13.0,16.0,2.9345731734799654,12.0,138.889,1286.0,116.0,0.0482361411087113,0.0,5678,57200.0,2402.0,5.0,2002.0,n
Male,0.12,0.51,3844.0,7.17,0.0,3.0,1.0,3.0,0.0,4.0,4.0,2.0876479022143695,0.0,486.0,1248.0,87.0,0.17299687825182103,0.0,540,785000.0,4083.0,6.0,2016.0,y
Male,0.14,0.5,5742.0,6.0,4.0,9.0,2.0,2.0,1.0,22.0,22.0,3.140686568013203,11.0,75.571,1891.0,27.0,0.15639150121908743,0.0,7841,4240.0,655.0,6.0,1996.0,n
Male,0.14,0.45,7793.0,6.4,5.0,1.0,11.0,7.0,2.0,27.0,64.0,3.886219653609651,50.0,69.143,1977.0,48.0,0.097138457590145,0.0,1254,4240.0,3257.0,6.0,2014.0,y
Female,0.21,0.53,818.0,8.74,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.345865006653309,1.0,6.722,395.0,18.0,0.06968215158924206,0.0,587,772000.0,106.0,4.0,2016.0,n
Male,0.16,0.53,3418.0,4.83,0.0,3.0,5.0,5.0,2.0,12.0,6.0,2.2036097594940682,10.0,12.15,1093.0,26.0,0.14394382679929785,0.0,687,1260000.0,2548.0,1.0,2016.0,y
Male,0.1,0.51,4186.0,7.18,0.0,1.0,7.0,0.0,0.0,8.0,5.0,2.101373975291537,11.0,174.05,1329.0,46.0,0.09794553272814142,0.0,8457,266000.0,3185.0,10.0,1994.0,n
Male,0.13,0.42,3451.0,4.83,0.0,3.0,3.0,0.0,0.0,10.0,27.0,2.5556097522443353,6.0,16.056,1365.0,26.0,0.007534048101999421,0.0,2619,911.0,1000.0,9.0,2010.0,n
Male,0.09,0.37,5124.0,7.56,0.0,2.0,0.0,3.0,0.0,4.0,23.0,2.73334812741115,17.0,373.778,1500.0,43.0,0.2607338017174083,0.0,6448,911.0,323.0,4.0,2000.0,n
Male,0.09,0.43,4479.0,8.74,0.0,0.0,0.0,2.0,0.0,1.0,19.0,2.104582247393745,9.0,184.083,1453.0,19.0,0.008707300736771601,0.0,4068,911.0,1689.0,10.0,2006.0,n
Female,0.25,0.51,565.0,5.61,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.4159891444405166,0.0,4.0,279.0,15.0,0.3274336283185841,0.0,587,911.0,99.0,4.0,2016.0,n
Female,0.25,0.5,581.0,6.79,0.0,0.0,0.0,6.0,0.0,0.0,2.0,2.5368668021214784,0.0,3.556,286.0,16.0,0.31497418244406195,0.0,475,911.0,121.0,8.0,2016.0,n
Female,0.22,0.48,700.0,5.61,0.0,0.0,0.0,2.0,0.0,0.0,4.0,2.6859165882208487,0.0,2.0,334.0,18.0,0.2571428571428571,0.0,216,911.0,108.0,4.0,2017.0,n
Female,0.2,0.52,4819.0,7.17,0.0,1.0,3.0,2.0,2.0,8.0,15.0,2.697498670329259,7.0,52.267,1413.0,121.0,0.06474372276405893,0.0,2080,911.0,3240.0,3.0,2012.0,y
Male,0.19,0.52,3774.0,5.61,4.0,9.0,11.0,2.0,2.0,29.0,9.0,2.5917671447617097,11.0,47.368,1090.0,24.0,0.13354531001589826,0.0,4250,62900.0,8599.0,4.0,2006.0,y
Male,0.22,0.51,1466.0,7.18,0.0,2.0,4.0,5.0,2.0,9.0,3.0,2.2747773842232446,0.0,112.0,650.0,8.0,0.04229195088676671,0.0,4234,62900.0,288.0,4.0,2006.0,n
Male,0.15,0.46,3659.0,6.79,0.0,0.0,4.0,2.0,0.0,6.0,7.0,2.2607294286648423,13.0,103.361,1195.0,42.0,0.22902432358567915,0.003279584585952446,2500,62900.0,546.0,1.0,2011.0,n
Unknown,0.17,0.53,5892.0,7.17,4.0,4.0,7.0,2.0,7.0,24.0,17.0,0.5892,5.0,65.761,1541.0,115.0,0.13781398506449424,0.0,13051,62900.0,1172.0,3.0,1982.0,n
Unknown,0.22,0.5,5196.0,4.44,2.0,1.0,4.0,3.0,4.0,17.0,2.0,2.4683804080143505,21.0,211.75,1305.0,20.0,0.22478829869130101,0.0,6742,62900.0,3572.0,6.0,1999.0,n
Unknown,0.15,0.53,4696.0,7.56,1.0,2.0,2.0,0.0,1.0,11.0,8.0,2.5758568636858303,11.0,172.34,1328.0,40.0,0.2672487223168654,0.0,12209,19600.0,706.0,6.0,1984.0,n
Female,0.15,0.52,4052.0,6.0,1.0,2.0,0.0,3.0,0.0,4.0,10.0,0.4052,5.0,288.3,1323.0,72.0,0.12191510365251727,0.0,12916,720.0,982.0,7.0,1982.0,n
Male,0.14,0.5,3968.0,5.62,0.0,2.0,13.0,30.0,0.0,20.0,14.0,2.60604574591054,13.0,24.891,1330.0,69.0,0.06300403225806452,0.014616935483870967,1394,174000.0,5973.0,2.0,2014.0,y
Male,0.17,0.49,3609.0,8.74,1.0,1.0,0.0,0.0,0.0,2.0,8.0,0.3609,2.0,295.84,1130.0,46.0,0.07509005264616238,0.0,15492,174000.0,200.0,7.0,1975.0,n
Female,0.13,0.47,4520.0,5.21,0.0,1.0,3.0,1.0,0.0,4.0,9.0,0.452,0.0,108.333,1463.0,100.0,0.13053097345132744,0.0008849557522123894,11992,6310.0,126.0,1.0,1985.0,n
