@relation 'features-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7,9,12-13,15,18,21-22'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute AuthorityMentions numeric
@attribute WordQuantity numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.470588,0.481481,0.038462,0.067416,0.1875,0.113475,0.040984,0.340331,0.226721,0,0.173956,0.824,n
0.441176,0.481481,0,0.067416,0.0625,0.099291,0.040984,0.367403,0.253036,0.008481,0.225073,0.776,n
0.382353,0.555556,0.038462,0.11236,0,0.148936,0.07377,0.290331,0.1417,0.021244,0.106525,0.896,n
0.470588,0.444444,0,0.044944,0,0.056738,0.057377,0.293094,0.172065,0.006878,0.289367,0.712,n
0.352941,0.518519,0,0.033708,0,0.042553,0.02459,0.409945,0.178138,0.004858,0.213595,0.784,n
0.441176,0.37037,0.076923,0.11236,0.125,0.205674,0.032787,0.35,0.066802,0,0.097116,0.904,n
0.588235,0.444444,0,0.011236,0,0.007092,0.008197,0.254972,0.323887,0,0.068149,0.936,y
0.5,0.481481,0,0.05618,0.0625,0.092199,0.057377,0.217403,0.103239,0,0.197739,0.8,n
0.411765,0.481481,0.019231,0.05618,0.125,0.078014,0.081967,0.210221,0.117409,0,0.060069,0.944,n
0.470588,0.555556,0,0.011236,0,0.007092,0.016393,0.322928,0.097166,0,0.330836,0.672,n
0.617647,0.555556,0,0,0,0.014184,0.237705,0.422376,0.234818,0,0.267261,0.736,n
0.647059,0.592593,0.019231,0,0,0.021277,0.090164,0.404972,0.184211,0.361286,0.291393,0.712,n
0.705882,0.666667,0.019231,0.011236,0,0.042553,0.040984,0.283425,0.095142,0,0.315089,0.688,n
0.411765,0.481481,0.038462,0,0,0.028369,0.065574,0.307182,0.072874,0,0.283116,0.72,n
0.411765,0.555556,0,0,0,0.007092,0.04918,0.14558,0.153846,0,0.068607,0.936,n
0.676471,0.777778,0.019231,0.089888,0.125,0.163121,0.131148,0.372928,0.186235,0,0.201703,0.8,n
0.382353,0.407407,0,0.011236,0,0.021277,0.032787,0.375414,0.052632,0,0.231433,0.768,n
0.411765,0.555556,0,0.011236,0.0625,0.049645,0.155738,0.314088,0.09919,0,0.218931,0.784,n
0.617647,0.666667,0,0.022472,0,0.049645,0.040984,0.328453,0.244939,0,0.240275,0.76,n
0.294118,0.703704,0,0.011236,0.0625,0.056738,0.032787,0.237569,0.192308,0,0.253387,0.744,n
0.5,0.62963,0,0.022472,0,0.056738,0.098361,0.269061,0.129555,0,0.228275,0.776,n
0.352941,0.37037,0,0,0,0,0.057377,0.118508,0.058704,0,0.003158,1,n
0.470588,0.518519,0.019231,0.033708,0.375,0.141844,0,0.264088,0.089069,0,0.01738,0.984,n
0.411765,0.592593,0,0.022472,0,0.042553,0,0.214365,0.309717,0,0.110838,0.888,n
0.470588,0.333333,0.019231,0.314607,0.1875,0.460993,0.057377,0.316298,0.139676,0,0.084506,0.92,n
0.529412,0.703704,0,0.078652,0,0.056738,0.07377,0.264917,0.172065,0,0.126541,0.872,n
0.588235,0.444444,0,0,0,0.007092,0.303279,0.197514,0.139676,0.002066,0.352485,0.648,n
0.617647,0.592593,0.057692,0.011236,0,0.035461,0.163934,0.227348,0.082996,0.005918,0.338916,0.664,n
0.470588,0.444444,0,0.022472,0.0625,0.070922,0.172131,0.412431,0.309717,0,0.166943,0.832,n
0.441176,0.407407,0.019231,0.089888,0.0625,0.148936,0.155738,0.417127,0.206478,0,0.12628,0.872,n
0.5,0.481481,0.019231,0.078652,0,0.113475,0.155738,0.33232,0.190283,0,0.146056,0.856,n
0.382353,0.518519,0.019231,0.033708,0,0.049645,0.270492,0.195856,0.07085,0,0.29882,0.704,n
0.529412,0.555556,0.134615,0.022472,0,0.269504,0.02459,0.259392,0.137652,0,0.304657,0.696,n
0.588235,0.814815,0.057692,0.022472,0.0625,0.283688,0.032787,0.224586,0.07085,0,0.345973,0.656,n
0.411765,0.592593,0.019231,0,0,0.021277,0,0.070718,0.080972,0,0.016727,0.984,n
0.588235,0.555556,0.038462,0,0,0.070922,0.02459,0.214088,0.089069,0,0.075162,0.928,n
0.411765,0.259259,0,0.078652,0,0.078014,0.04918,0.235635,0.263158,0,0.01052,0.992,n
0.470588,0.444444,0,0.033708,0,0.042553,0.114754,0.317127,0.072874,0,0.014179,0.984,n
0.411765,0.518519,0,0.011236,0,0.007092,0.016393,0.173481,0.078947,0,0.09631,0.904,n
0.5,0.481481,0,0.011236,0,0.035461,0.155738,0.300552,0.188259,0.005751,0.08431,0.92,y
0.470588,0.703704,0.096154,0.067416,1,0.283688,0.147541,0.354696,0.15587,0,0.10768,0.896,n
0.411765,0.444444,0.019231,0.011236,0.125,0.070922,0.131148,0.270994,0.178138,0.016512,0.006251,0.992,n
0.5,0.62963,0,0,0,0.021277,0.032787,0.338398,0.220648,0,0.331184,0.672,y
0.294118,0.333333,0,0,0,0.014184,0.081967,0.225691,0.206478,0,0.353857,0.648,n
0.323529,0.592593,0.019231,0.05618,0.5,0.248227,0.016393,0.287017,0.080972,0,0.064338,0.936,n
