@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R2,7,9,11-12,15,17-18,20'

@attribute Gender {Male,Female,Unknown,Combo}
@attribute Subjectivity numeric
@attribute WordCount numeric
@attribute FleschReading numeric
@attribute OT numeric
@attribute BoM numeric
@attribute PoGP numeric
@attribute TalkingSpeed numeric
@attribute AuthorityMentions numeric
@attribute WordQuantity numeric
@attribute PercentInQuotes numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
Female,0.52,2314,7.95,0,0,0,1.467359,6,800,0,14600,2,2009,n
Female,0.58,6458,4.43,1,8,2,2.638283,16,1623,0,14600,5,1992,n
Female,0.48,4726,5.22,0,1,0,0.4726,4,1632,0,788000,8,1988,n
Female,0.52,4296,5.61,0,1,1,0.4296,19,1410,0,1840000,3,1990,n
Female,0.55,5074,4.43,0,2,0,0.5074,5,1462,0,1840000,7,1987,n
Female,0.56,3624,4.43,0,1,1,0.3624,4,1133,0,11100000,11,1985,n
Female,0.54,3507,5.22,0,2,0,0.3507,12,1247,0,11100000,1,1989,n
Female,0.47,1629,8.35,0,0,0,1.701123,7,702,0,20200,4,2017,n
Male,0.51,4047,4.82,1,3,6,2.510239,0,1229,0,20200,7,2015,n
Male,0.53,3618,5.6,0,2,0,2.805568,0,1049,0,20200,10,2003,n
Male,0.46,5396,6,1,28,3,2.270677,7,1418,0,3530,2,2007,n
Male,0.56,4760,7.56,0,7,0,2.806992,9,1232,0,546000,10,2001,n
Female,0.49,3247,7.95,0,0,0,0.3247,37,988,0.000616,546000,5,1973,n
Female,0.53,3400,7.57,3,1,0,2.20518,20,1096,0.001765,8800,2,1975,n
Male,0.49,6825,6,0,2,1,3.304398,21,1766,0,8800,9,1996,n
Male,0.48,6568,4.43,1,8,1,3.166363,19,1783,0,8800,11,2001,n
Male,0.5,4890,5.6,1,7,0,3.057188,19,1476,0,8800,5,1999,n
Male,0.51,3619,4.43,1,3,0,1.936161,33,982,0,8800,2,1980,n
Male,0.52,6122,4.04,7,2,0,0.6122,3,1212,0,4110,6,1979,n
Male,0.59,5042,4.04,3,2,1,0.5042,4,1086,0,10200,3,1974,n
Female,0.53,1109,7.18,1,0,0,2.739128,0,529,0,11600,8,2015,n
Female,0.52,3317,4.43,2,0,0,2.509019,3,1048,0,11600,4,2008,n
Male,0.44,4482,7.56,0,7,0,2.969229,6,1126,0,11600,5,2016,n
Female,0.49,4122,6.01,0,3,0,2.825769,14,1421,0,22200,12,2015,n
Female,0.51,2143,5.61,0,1,0,2.385323,2,901,0,22200,8,2005,n
Female,0.5,4665,4.83,0,1,0,2.290405,19,1361,0.001715,22200,2,2007,y
Female,0.56,6094,3.26,5,6,16,2.814236,18,1557,0,22200,3,2004,n
Female,0.49,4265,5.61,1,1,2,2.911528,16,1254,0.004924,22200,12,2016,n
Male,0.54,5916,6.78,0,0,0,0.5916,4,1498,0,22200,2,1976,y
Male,0.46,4270,5.21,0,0,0,0.427,10,1090,0,22200,3,1973,n
Male,0.53,4262,4.43,1,5,8,2.13498,2,1312,0,22200,8,2009,n
Male,0.48,5235,5.6,1,0,0,0.5235,14,1300,0,22200,1,1977,n
Male,0.49,5740,3.65,1,9,5,2.597906,7,1404,0,22200,2,2003,y
Male,0.48,3432,3.65,0,27,0,2.137448,7,1008,0,22200,1,2007,y
Male,0.46,4664,6,0,3,0,0.4664,9,1300,0,22200,2,1980,y
