@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,3,5,7-15,17-23'

@attribute Polarity numeric
@attribute WordCount numeric
@attribute OT numeric
@attribute WordQuantity numeric
@attribute PopularByAbsolute {y,n}

@data
0.22,2363,0,874,n
0.29,675,0,355,n
0.2,2600,0,820,n
0.23,5912,0,1594,n
0.29,1336,0,593,n
0.2,3167,2,1092,n
0.2,5932,1,1608,n
0.28,974,0,460,n
0.18,3951,0,1183,n
0.22,5118,0,1485,n
0.16,6447,0,1714,n
0.23,2825,0,1003,n
0.23,1015,0,484,n
0.17,3284,0,1007,n
0.22,2859,1,938,n
0.26,805,0,401,n
0.23,1000,0,480,n
0.28,1266,0,560,n
0.19,5068,0,1567,n
0.22,2720,6,894,n
0.26,1148,0,470,n
0.13,3886,3,994,n
0.26,4286,0,1305,y
0.17,3772,0,1076,n
0.14,3168,0,1102,n
0.11,4216,1,1290,n
0.19,4468,3,1359,y
0.12,4310,0,1468,n
0.12,4310,0,1468,n
0.2,6118,10,1463,n
0.17,877,0,453,n
0.23,3740,2,1161,n
0.16,5563,0,1320,n
0.2,4853,2,1221,n
0.34,3661,0,959,y
0.21,4096,0,948,n
0.16,4914,0,1046,y
0.18,918,0,475,n
0.15,907,0,455,n
0.25,1501,0,635,n
0.15,3366,0,1151,n
0.15,4635,0,1243,n
0.17,3726,0,1139,n
0.16,4269,1,1236,n
0.27,4970,0,1394,n
0.28,3303,3,994,n
0.12,6084,1,1715,n
0.16,3945,0,1170,n
0.16,3945,0,1170,n
0.19,5797,1,1567,y
0.19,685,0,368,n
0.13,4334,0,1493,n
0.14,3825,0,1489,n
0.12,4463,3,1285,n
0.19,4036,0,1284,n
0.15,3537,0,1166,n
0.16,4203,2,1481,y
0.11,3296,0,1027,y
0.11,3296,0,1027,y
0.16,4325,2,1310,y
0.18,3372,0,1050,n
0.14,3965,0,1271,n
0.12,3911,1,1295,y
0.12,4451,0,1580,n
0.15,4756,5,1375,n
0.11,4439,4,1365,y
0.16,2488,0,940,n
0.18,5123,2,1420,y
0.18,2468,1,998,n
0.16,6045,4,1611,y
0.32,3755,0,1238,n
0.07,3977,3,1228,n
0.1,3598,0,1298,y
0.12,4759,6,1541,y
0.12,4759,6,1541,y
0.17,4460,3,1465,y
0.2,6092,1,1424,n
0.17,5344,4,1442,y
0.11,5908,0,1739,n
0.2,3809,1,1225,n
0.05,3328,4,937,y
0.12,3503,0,1241,y
0.14,5064,1,1561,n
0.18,5443,1,1578,n
0.16,5141,1,1381,y
0.17,4435,0,1337,n
0.2,2698,1,938,n
0.07,4698,0,1478,y
0.34,1996,1,723,n
0.13,4902,1,1418,y
0.16,4654,0,1359,n
0.16,5462,2,1566,n
0.13,5261,0,1486,y
0.18,4444,1,1238,n
0.09,4434,3,1288,n
0.1,5323,2,1547,y
0.16,4866,2,1391,y
0.12,6933,0,1848,n
0.17,3882,1,1144,y
0.08,5382,1,1549,y
0.12,4026,0,1205,y
0.1,4093,0,1370,n
0.13,4754,0,1383,n
0.16,7760,2,1992,y
0.12,4034,1,1266,n
0.13,5262,1,1582,n
0.14,4790,0,1375,n
0.17,5980,1,1298,n
0.21,2901,0,1068,n
0.18,5155,0,1510,n
0.21,2661,0,927,y
0.16,3487,1,1029,y
0.18,5396,1,1418,y
0.2,4760,0,1232,y
0.19,4545,6,1422,n
0.15,4346,0,1381,n
0.12,5120,1,1603,n
0.23,3785,0,1178,n
0.2,4284,0,1375,n
0.14,4454,1,1373,n
0.14,4446,1,1343,n
0.19,4743,1,1466,n
0.2,3875,2,1252,n
0.16,3627,1,1236,n
0.14,4982,0,1314,n
0.21,4876,1,1391,n
0.21,4876,1,1391,n
0.15,4026,0,1217,n
0.2,5063,4,1423,y
0.19,3653,1,1012,n
0.16,3830,1,1349,n
0.22,4293,0,1145,y
0.15,5376,2,1562,n
0.21,5132,1,1178,n
0.24,3758,1,994,n
0.21,5132,1,1178,n
0.14,6954,2,2096,n
0.18,4478,0,1338,y
0.02,5353,0,1607,y
0.23,4106,0,1217,n
0.14,4165,0,1213,y
0.1,4421,5,1451,n
0.19,5433,12,1521,n
0.17,4152,1,1089,y
0.17,4136,0,1302,y
0.25,4657,0,1407,n
0.23,4721,0,1282,n
0.18,3485,0,1161,n
0.17,4453,0,1322,n
0.15,3105,0,1036,n
0.17,3325,1,968,y
0.19,3820,3,1067,y
0.22,4533,0,1128,n
0.2,1781,0,712,n
0.29,999,0,433,n
0.23,898,0,397,n
0.23,4800,0,1126,n
0.24,3991,0,1096,y
0.2,3450,0,1067,n
0.06,4372,0,1324,n
0.14,5188,1,1267,n
0.2,4020,7,1074,n
0.15,4143,0,1302,n
0.11,3089,1,927,n
0.19,3828,3,1271,n
0.14,4389,14,1397,n
0.21,5316,3,1482,n
0.19,4207,0,1358,n
0.14,3253,0,1082,n
0.19,3284,0,1116,n
0.14,3253,0,1082,y
0.23,1927,0,725,n
0.26,2431,0,939,n
0.23,5319,0,1406,n
0.14,4046,4,1268,y
0.2,4061,2,1418,y
0.12,6374,1,1322,n
0.22,4179,0,1075,n
0.15,1004,1,460,n
0.19,3506,2,1204,n
0.16,3752,0,1253,n
0.19,6622,0,1680,n
0.21,4512,3,1265,n
0.26,4498,3,1417,n
0.16,4152,15,1343,y
0.2,3205,1,1132,n
0.19,4898,2,1396,y
0.19,4898,2,1396,n
0.18,4136,1,1089,n
0.19,4466,1,1506,y
0.13,4486,1,1486,n
0.14,3448,0,1111,n
0.17,3744,1,1196,n
0.23,4529,0,1143,n
0.19,4693,0,1327,n
0.2,5812,0,1528,n
0.2,3825,2,1146,n
0.19,4738,0,1529,y
0.1,5510,10,1459,y
0.19,5662,2,1326,n
0.18,3468,1,987,n
0.19,4231,1,1332,n
0.14,4160,4,1206,n
0.27,4839,0,1292,n
0.08,3946,1,1369,n
0.16,4924,1,1471,n
0.16,3495,4,1128,n
0.16,3495,4,1128,n
0.18,5339,0,1398,n
0.23,4590,1,1253,n
0.21,4948,1,1431,n
0.09,3905,1,1367,n
0.14,6561,2,1609,n
0.15,5156,0,1589,n
0.09,3555,3,1305,n
0.22,4479,0,1276,n
0.2,4259,1,1225,n
0.23,5239,3,1423,n
0.19,8138,1,1829,y
0.09,3555,3,1305,y
0.28,3458,7,1054,y
0.08,3344,2,1023,y
0.09,3576,0,1295,n
0.11,4512,0,1627,y
0.25,5186,5,1464,n
0.14,4613,3,1378,y
0.17,4793,6,1231,y
0.2,5958,0,1568,n
0.16,17912,0,3893,n
0.13,7074,0,1858,n
0.18,5437,0,1548,n
0.17,4617,6,1427,y
0.22,3726,1,1084,y
0.18,3153,0,1090,y
0.15,3619,1,982,y
0.18,7355,1,1953,y
0.24,4510,1,1215,y
