@relation 'features-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,3,5,7-15,17-23'

@attribute Polarity numeric
@attribute WordCount numeric
@attribute OT numeric
@attribute WordQuantity numeric
@attribute PopularByAbsolute {y,n}

@data
0.18,5126,0,1341,n
0.23,4918,0,1329,n
0.15,4682,0,1307,y
0.14,5537,6,1659,n
0.12,4415,0,1289,n
0.24,6020,4,1246,n
0.19,4167,2,1021,n
0.17,3902,0,939,n
0.24,4936,2,1135,n
0.18,7072,1,1192,n
0.12,4198,0,1314,n
0.13,5486,0,1511,n
0.23,4519,1,1284,y
0.28,5070,1,1559,y
0.25,4597,0,1402,n
0.15,5826,0,1799,n
0.23,3467,1,912,n
0.12,2872,0,901,n
0.21,3642,0,1099,n
0.18,3119,1,937,n
0.1,3010,0,1005,n
0.19,3455,0,1060,n
0.2,3792,0,1028,n
0.26,3089,0,1047,n
0.24,3184,0,891,n
0.13,2965,0,866,n
0.22,2723,1,872,n
0.16,2976,0,935,n
0.19,3995,0,1090,n
0.12,10579,1,1889,n
0.13,10509,1,1820,y
0.15,10428,5,2016,y
0.13,8634,1,2302,n
0.14,7651,6,1560,n
0.19,7586,0,1968,n
0.24,7464,2,1649,n
0.13,7439,2,1555,n
0.17,7393,7,1928,y
0.17,7376,2,1787,n
0.17,7380,10,1824,n
0.17,7180,0,2223,y
0.23,7190,10,1606,n
0.12,7156,2,1640,n
0.21,6805,0,1540,n
0.16,6799,1,1655,n
0.13,6764,2,1577,n
0.05,6684,0,1496,n
0.16,6681,0,1474,n
0.14,6649,0,1793,n
0.14,6649,0,1452,n
0.13,6629,0,1811,n
0.13,6605,10,1873,n
0.22,6595,0,1665,n
0.17,6601,0,1919,n
0.12,6517,4,1721,n
0.19,6462,0,1543,n
0.13,6468,0,1581,n
0.22,6461,0,1264,n
0.16,6316,0,1674,n
0.15,6324,0,1683,n
0.22,6323,2,1765,n
0.16,6324,8,1719,n
0.16,6284,1,1970,n
0.19,6294,2,1733,y
0.21,6225,7,1350,n
0.16,6128,0,1677,n
0.21,6095,0,1522,n
0.21,6095,0,1522,y
0.13,6103,0,1867,n
0.13,6081,2,1663,y
0.15,6086,0,1495,n
0.15,6066,0,1864,n
0.14,6070,0,1371,n
0.22,6123,1,1367,n
0.16,6051,0,1550,n
0.19,6029,0,1503,n
0.19,6020,0,1544,n
0.09,6035,0,1506,n
0.18,5999,0,1714,y
0.17,5990,3,1709,n
0.22,5994,0,1192,n
0.11,5975,0,1877,n
0.26,5978,0,1435,y
0.18,5970,0,1630,n
0.17,5955,0,1640,y
0.08,5950,5,1917,n
0.11,5954,0,1580,n
0.18,5950,3,1511,n
0.17,5907,1,1730,n
0.15,5906,1,1440,n
0.24,5934,3,1495,n
0.17,5878,4,1673,n
0.25,5849,12,1506,y
0.13,5840,0,1675,n
0.15,5797,3,1764,n
0.19,5798,3,1581,n
0.19,5734,2,1620,y
0.21,5725,4,1572,n
0.16,5716,1,1494,n
0.1,5693,1,1508,n
0.18,5690,0,1465,n
0.17,5711,2,1482,n
0.2,5684,5,1642,n
0.19,5741,1,1627,n
0.27,5665,0,1277,y
0.12,5657,0,1572,n
0.15,5628,0,1566,n
0.25,5647,3,1378,n
0.15,5602,0,1237,n
0.15,5622,0,1387,n
0.16,5584,1,1759,n
0.17,5567,0,1607,n
0.15,5567,0,1709,n
0.14,5692,5,1680,y
0.13,5562,0,1681,n
0.19,5541,0,1496,n
0.19,5529,0,1407,n
0.23,5498,0,1333,n
0.06,5483,3,1453,y
0.17,5499,2,1321,n
0.2,5480,0,1625,n
0.21,5484,8,1497,n
0.15,5495,2,1563,n
0.14,5477,0,1618,n
0.17,5457,4,1323,n
0.08,5456,1,1738,n
0.26,5463,0,1621,y
0.16,5466,0,1447,y
0.21,5488,0,1578,y
0.17,5428,0,1470,n
0.23,5440,0,1392,n
0.14,5413,0,1642,n
0.12,5416,0,1610,n
0.24,5399,1,1430,n
0.13,5397,6,1599,n
0.2,5392,0,1333,n
0.14,5386,2,1191,n
0.13,5379,1,1714,n
0.13,5351,0,1494,n
0.11,5343,2,1414,y
0.13,5308,1,1599,n
0.2,5320,7,1613,n
0.16,5341,0,1628,n
0.18,5272,1,1523,y
0.21,5282,1,1284,y
0.18,5268,2,1431,n
0.21,5264,0,1362,n
0.23,5258,1,1304,n
0.21,5251,0,1409,n
0.13,5235,0,1500,y
0.17,5248,5,1542,n
0.11,5235,0,1641,n
0.08,5242,6,1449,n
0.21,5185,0,1569,n
0.15,5210,0,1301,n
0.17,5213,0,1496,n
0.13,5192,0,1316,n
0.16,5195,5,1678,n
0.16,5162,8,1486,y
0.14,5154,1,1775,n
0.25,5159,2,1315,n
0.13,5132,0,1424,n
0.13,5145,0,1298,n
0.22,5101,1,1417,n
0.11,5087,0,1568,n
0.13,5090,2,1685,y
0.18,5079,4,1737,n
0.18,5063,0,1249,y
0.19,5062,4,1420,n
0.17,5036,0,1430,n
0.14,4992,0,1379,n
0.21,5020,1,1367,n
0.2,5023,2,1526,n
0.19,5000,1,1273,n
0.17,5001,0,1513,n
0.16,5009,1,1507,n
0.22,4982,2,1409,n
0.19,5013,3,1425,n
0.14,4976,0,1589,y
0.15,4956,1,1537,n
0.2,4990,5,1466,y
0.18,4973,1,1473,n
0.16,4937,5,1478,n
0.16,4939,0,1270,n
0.16,4939,0,1289,n
0.15,4925,0,1598,y
0.09,4917,0,1096,y
0.15,4920,0,1467,n
0.21,4912,0,1363,n
0.22,4896,0,1287,n
0.18,4869,0,1280,y
0.1,4884,0,1550,n
0.11,4875,1,1253,n
0.15,4893,0,1525,n
0.18,4841,3,1326,n
0.13,4857,4,1289,n
0.26,4856,9,1429,n
0.25,4850,2,1028,n
0.14,4842,0,1413,y
0.07,4835,3,1297,n
0.22,4842,0,1275,n
0.16,4833,0,1304,n
0.14,4807,0,1444,y
0.23,4790,0,1395,n
0.14,4813,0,1433,y
0.12,4758,0,1588,n
0.23,4778,0,1243,y
0.13,4765,2,1411,y
0.18,4777,0,1512,n
0.13,4777,0,1198,n
0.22,4753,1,1110,n
0.16,4784,0,1383,y
0.12,4759,6,1541,n
0.18,4753,1,1214,n
0.17,4759,5,1499,n
0.19,4764,6,1452,n
0.17,4749,2,1488,n
0.14,4747,0,1471,n
0.19,4721,3,1321,n
0.11,4744,9,1323,n
0.15,4739,1,1170,n
0.14,4718,0,1222,n
0.13,4684,1,1522,n
0.17,4677,0,1101,y
0.26,4668,1,1396,n
0.13,4670,5,1646,n
0.26,4638,1,1358,n
0.17,4648,1,1483,y
0.16,4646,1,1365,n
0.2,4643,16,1345,n
0.17,4649,2,1356,n
0.24,4654,0,1375,y
0.18,4643,0,1407,n
0.16,4628,0,1363,n
0.12,4603,0,1145,n
0.11,4569,0,1514,n
0.2,4567,1,1352,n
0.24,4579,0,1277,n
0.12,4570,0,1457,n
0.14,4575,4,1415,n
0.19,4560,6,1594,n
0.17,4568,3,1534,y
0.12,4558,3,1452,n
0.12,4514,0,1255,y
0.21,4526,4,1327,n
0.12,4550,0,1346,n
0.23,4532,1,1241,y
0.2,4539,0,1212,n
0.26,4538,4,1024,n
0.17,4529,5,1314,n
0.16,4527,0,1235,y
0.11,4528,1,1056,y
0.17,4541,4,1281,n
0.23,4529,0,1143,n
0.12,4515,8,1223,y
0.2,4499,1,1250,n
0.23,4495,0,1234,n
0.19,4491,2,1330,n
0.19,4474,1,1240,y
0.2,4477,0,1071,y
0.16,4475,1,1339,n
0.24,4464,0,1194,n
0.17,4459,4,1161,n
0.14,4444,0,1239,n
0.13,4418,0,1237,y
0.19,4432,0,1335,n
0.19,4439,1,1368,y
0.22,4422,0,1310,n
0.17,4416,0,1210,n
0.15,4408,0,1453,n
0.12,4418,0,972,n
0.17,4414,0,1260,y
0.15,4375,0,1203,y
0.27,4385,2,1255,n
0.22,4366,1,1197,n
0.21,4370,8,1397,n
0.16,4348,52,1331,n
0.18,4342,1,1280,n
0.2,4349,1,1291,n
0.23,4330,0,1288,y
0.13,4331,3,1464,n
0.2,4328,0,1384,n
0.18,4342,0,1256,n
0.12,4335,4,1137,y
0.25,4312,0,1053,y
0.15,4306,0,1402,n
0.19,4317,1,1274,n
0.16,4304,1,1328,n
0.17,4283,0,1352,n
0.22,4336,0,1194,n
0.17,4284,3,1342,n
0.2,4263,0,1020,n
0.13,4253,1,1172,n
0.15,4229,3,1459,y
0.21,4241,0,1126,n
0.19,4232,1,1245,n
0.18,4226,0,1399,n
0.14,4227,2,1429,n
0.2,4206,0,963,n
0.23,4208,0,1246,n
0.13,4208,1,1615,y
0.17,4211,2,1433,n
0.18,4198,0,1207,n
0.13,4212,0,1337,n
0.17,4182,3,1352,n
0.18,4171,0,1118,y
0.34,4177,2,1337,n
0.19,4183,3,1148,y
0.18,4165,2,1254,n
0.11,4179,0,1157,n
0.24,4168,2,1277,n
0.2,4166,0,1201,y
0.26,4154,0,979,n
0.11,4168,2,1352,n
0.22,4160,0,1201,y
0.11,4139,0,1294,y
0.12,4150,0,1283,n
0.13,4160,4,1316,n
0.24,4145,0,1196,n
0.2,4142,21,1254,n
0.14,4097,1,1240,n
0.18,4094,2,1180,n
0.19,4111,0,1133,n
0.17,4103,3,1278,n
0.19,4088,1,1173,n
0.23,4096,0,1132,n
0.13,4083,1,1322,n
0.13,4093,4,1365,n
0.22,4079,8,1270,n
0.2,4075,0,1244,n
0.2,4060,1,1394,y
0.24,4055,0,945,n
0.12,4060,1,1315,n
0.14,4056,1,1225,y
0.18,4060,1,1197,n
0.11,4050,0,1288,n
0.14,4046,0,1274,n
0.22,4034,4,1213,n
0.19,4023,1,1141,n
0.25,4034,0,1200,n
0.24,4002,2,1199,n
0.18,4009,0,1216,n
0.23,3978,4,1036,n
0.33,3987,1,1090,y
0.19,3981,0,1314,n
0.15,3974,0,1151,n
0.13,3969,2,1365,n
0.14,3968,0,1330,n
0.13,3945,7,1338,n
0.15,3922,8,1339,n
0.23,3927,0,1243,n
0.12,3921,0,1331,n
0.16,3917,0,1272,n
0.14,3919,0,1249,n
0.15,3912,1,1281,n
0.17,3902,1,1069,n
0.31,3883,0,1073,n
0.16,3891,1,1191,n
0.16,3898,10,1365,n
0.19,3881,4,1224,n
0.15,3866,0,1223,n
0.12,3849,0,1034,n
0.15,3835,1,1337,n
0.24,3829,0,953,n
0.2,3816,0,1163,n
0.21,3795,2,1105,n
0.16,3789,0,1110,n
0.22,3815,2,1039,n
0.17,3788,1,1114,n
0.2,3791,0,1141,n
0.27,3778,0,1268,n
0.16,3768,0,1299,n
0.2,3770,9,1126,y
0.29,3775,0,947,n
0.1,3771,0,1259,n
0.19,3756,0,1270,n
0.22,3741,0,1057,n
0.14,3737,1,1326,n
0.18,3734,0,1192,n
0.25,3743,4,1084,n
0.13,3712,3,1340,n
0.14,3709,0,1241,n
0.1,3706,0,1183,n
0.22,3714,5,1090,y
0.14,3700,0,1225,n
0.12,3681,0,1236,n
0.17,3695,0,1081,n
0.23,3675,5,1153,y
0.21,3660,0,1222,y
0.18,3643,1,1006,n
0.18,3650,1,1195,y
0.12,3644,1,1139,y
0.21,3629,3,1187,n
0.19,3625,3,1206,n
0.3,3627,9,1126,n
0.11,3608,0,1034,y
0.23,3609,1,1109,n
0.14,3590,0,1047,y
0.15,3575,2,1301,n
0.15,3541,0,1171,y
0.11,3475,0,1169,n
0.16,3478,5,1101,n
0.11,3477,6,1136,n
0.17,3452,2,1046,n
0.18,3447,0,1098,n
0.24,3439,0,1020,n
0.14,3419,0,1005,n
0.16,3418,2,1183,n
0.26,3409,0,955,n
0.17,3407,0,1096,y
0.18,3397,0,995,n
0.24,3396,0,1085,n
0.21,3393,0,1068,n
0.22,3375,0,928,y
0.18,3388,0,1088,n
0.29,3384,0,941,n
0.23,3378,2,1189,y
0.17,3369,1,1005,n
0.22,3349,0,1055,n
0.15,3328,1,1219,y
0.19,3316,0,1076,y
0.12,3312,2,1045,n
0.19,3271,1,1174,n
0.22,3253,1,1075,n
0.18,3234,0,1233,n
0.27,3249,2,1208,n
0.2,3247,0,1102,n
0.16,3234,1,1027,n
0.21,3177,0,1061,n
0.19,3164,1,947,y
0.16,3144,1,1134,n
0.2,3131,2,1044,y
0.16,3140,2,953,n
0.15,3129,0,1033,n
0.14,3104,0,1034,n
0.26,3094,6,961,n
0.14,3071,0,1013,n
0.11,3008,0,1072,n
0.16,2974,0,1010,n
0.14,2933,0,1108,n
0.22,2904,0,711,n
0.15,2903,0,990,n
0.16,2891,0,1002,n
0.23,2860,0,924,n
0.19,2861,0,970,n
0.25,2825,0,992,n
0.17,2813,0,907,n
0.11,2805,1,1046,n
0.18,2789,0,947,n
0.25,2784,3,990,n
0.16,2780,0,963,n
0.23,2768,1,888,y
0.12,2752,0,1039,n
0.2,2754,0,999,y
0.16,2734,0,927,n
0.24,2743,0,905,n
0.11,2672,3,1047,n
0.16,2643,2,941,y
0.24,2635,1,965,n
0.21,2609,0,898,n
0.22,2586,1,853,n
0.24,2552,0,810,n
0.24,2545,1,866,n
0.18,2505,1,926,n
0.18,2458,0,843,n
0.27,2434,10,934,y
0.22,2381,0,818,n
0.06,2320,1,780,n
0.2,2281,1,709,n
0.11,2237,1,882,n
0.21,2157,2,749,n
0.2,2127,0,708,n
0.19,2049,0,743,n
0.23,2019,0,680,n
0.26,1983,0,716,n
0.17,1968,0,871,n
0.16,1944,1,702,n
0.3,1925,0,693,n
0.21,1925,0,718,n
0.22,1924,0,701,n
0.12,1922,0,772,n
0.2,1922,0,739,n
0.24,1871,0,736,n
0.13,1884,1,736,n
0.18,1877,0,664,n
0.17,1869,1,638,n
0.14,1821,0,695,n
0.2,1837,0,695,n
0.19,1810,0,673,n
0.23,1778,5,742,n
0.21,1751,0,684,n
0.18,1726,0,716,n
0.17,1581,0,715,n
0.25,1477,0,589,y
0.21,1476,1,524,n
0.11,1477,0,588,n
0.21,1451,0,533,n
0.2,1387,0,581,y
0.12,1374,0,620,n
0.2,1336,0,575,n
0.26,1281,1,593,n
0.09,1229,0,567,n
0.1,1107,0,506,n
0.28,1100,0,479,n
0.25,1093,0,492,n
0.16,1096,0,571,n
0.22,1038,0,512,n
0.19,1036,2,545,n
0.1,1020,0,559,n
0.19,1018,0,424,n
0.22,947,0,491,n
0.2,945,0,457,n
0.21,941,1,456,n
0.22,937,0,412,n
0.2,928,0,422,n
0.26,914,0,407,n
0.22,872,0,423,n
0.17,846,0,446,n
0.36,832,0,418,n
0.2,812,0,355,n
0.27,750,0,373,n
0.17,759,0,407,n
0.21,746,0,323,n
0.09,728,0,350,n
0.34,683,0,353,n
0.28,645,0,358,n
0.35,522,0,273,n
0.23,456,0,275,n
0.16,4049,0,1451,n
0.18,4224,4,1376,n
0.23,4736,0,1434,y
0.22,3349,0,1055,n
