Pageviews,Polarity,Subjectivity,WordCount,FleschReadingEase,Ot,Nt,Bom,Dyc,Pogp,AllScriptureCount,NameMentions,TimeElapsed,AppealToAuthority,WeToYouRatio,WordQuantity,UseOfI,WordsInItalics,QuotesInQuotationMarks,DaysElapsed,NameSearchResults,Name
212,0.16,0.51,3425,5.9,1,2,5,1,2,11,0,1401.8426666666667,10,181.73,1038,57,113,215,2821,71800,Barbara A. Heise
2322,0.23,0.52,6403,7.1,0,2,0,0,0,2,1,2781.1826666666666,29,16.86,1809,107,1377,1047,12334,37700000,Barbara B. Smith
3729,0.15,0.52,2319,10.0,0,0,0,1,0,1,0,1576.9826666666668,6,110.25,800,74,23,63,3213,1170,Barbara Culatta
232,0.24,0.58,6473,6.7,1,4,8,8,2,23,2,2447.804,16,302.286,1634,84,780,819,9324,314000,Barbara Day Lockhart
5,0.19,0.51,4045,8.0,1,8,3,2,6,20,1,1612.1973333333333,0,216.071,1232,44,675,208,861,4030,Barry Willardson
608,0.16,0.53,3631,6.8,0,1,2,3,0,6,0,1289.5786666666668,0,35.267,1047,153,84,139,5152,720,Bart J. Kowallis
2759,0.18,0.46,5405,7.6,1,7,30,30,3,71,1,2376.384,7,79.529,1426,69,300,245,3943,174000,David A. Bednar
16,0.19,0.57,4778,8.3,0,1,13,0,0,14,1,1695.7653333333333,9,192.045,1233,85,80,1079,5873,174000,David A. Bednar
67,0.23,0.52,3407,9.5,3,1,1,0,0,5,0,1541.824,20,56.0,1102,38,257,472,15624,15300,Belle S. Spafford
1924,0.18,0.49,6822,7.4,0,2,2,5,1,10,2,2065.4293333333335,21,33.383,1779,146,2629,885,7728,3920000,Ben B. Banks
2998,0.17,0.48,6569,7.0,1,3,8,8,1,21,1,2074.304,19,290.113,1794,99,1421,693,5861,3920000,Ben B. Banks
943,0.2,0.5,4898,8.0,1,6,7,3,0,17,2,1599.5093333333334,19,97.587,1482,88,1332,648,6769,3920000,Ben B. Banks
294,0.15,0.51,3637,6.0,1,1,3,2,0,7,1,1869.1626666666666,33,25.689,987,35,664,780,13783,71600,Ezra Taft Benson
1399,0.17,0.54,1118,8.8,1,0,0,2,0,3,0,404.87333333333333,0,12.5,522,40,222,33,831,685000,Beth Black Peacock
90,0.22,0.52,3316,5.6,2,8,0,0,0,10,0,1322.0306666666668,3,49.315,1045,44,303,180,3514,60900,Beth Vaughan Cole
112,0.16,0.44,4486,8.1,0,3,7,1,0,11,1,1509.4826666666668,6,72.25,1128,130,638,399,546,821000,Blake E. Peterson
92,0.18,0.48,4069,8.3,0,0,3,3,0,6,0,1458.718,14,93.091,1419,36,1540,264,714,13500,Bonnie Brinton Anderson
3139,0.19,0.5,4685,6.2,0,4,1,0,0,5,1,2036.7573333333332,19,88.021,1381,88,1420,384,3934,12700,Bonnie D. Parkin
22,0.17,0.57,6119,5.8,5,9,6,4,25,49,0,2165.4186666666665,18,5.389,1575,74,543,947,5007,12700,Bonnie D. Parkin
86,0.16,0.49,4272,7.9,1,0,1,6,2,10,1,1464.8666666666666,15,27.557,1253,88,646,174,350,9140,Bonnie L. Oscarson
112,0.14,0.54,4269,7.0,1,14,5,7,8,35,0,1996.272,2,248.067,1313,40,760,342,3017,67100,Boyd K. Packer
16,0.14,0.49,5748,4.8,1,11,9,16,5,42,0,2209.472,7,30.061,1406,148,297,411,5406,67100,Boyd K. Packer
28,0.16,0.48,3424,4.9,0,5,27,2,0,34,0,1605.6533333333334,7,23.347,1015,39,532,175,3962,67100,Boyd K. Packer
433,0.11,0.51,4363,4.9,2,7,15,2,0,26,0,2185.22,10,16.036,1225,68,32,895,2207,67100,Boyd K. Packer
5,0.17,0.47,4622,7.4,0,0,1,5,2,8,0,1393.344,11,336.111,1557,53,418,347,4249,15600,Brad Neiger
21,0.19,0.43,3732,8.7,0,2,2,0,0,4,1,1331.904,18,36.214,1158,57,413,318,4669,20300,Brad W. Farnsworth
16,0.14,0.51,3605,5.6,0,9,8,3,0,20,2,1930.12,6,143.115,1055,67,116,974,2324,220000,Brad Wilcox
5,0.12,0.48,2284,4.7,4,2,2,0,0,8,0,880.4426666666667,3,10.051,831,22,151,122,208,3160000,Bradley D. Foster
17,0.14,0.41,6597,8.7,1,8,3,3,0,15,0,1685.1626666666666,10,257.895,1845,64,1005,462,6615,78300,Brent A. Barlow
6941,0.2,0.55,5430,9.1,1,0,0,0,0,1,0,2182.250666666667,0,84.0,1558,131,184,325,189,2780,Brent D. Slife
273,0.23,0.52,4179,7.9,0,2,4,2,1,9,2,1685.0226666666667,10,141.067,1109,133,92,371,1260,911000,Brent E. Nelson
419,0.2,0.55,5430,9.1,1,0,0,0,0,1,0,2182.250666666667,0,84.0,1558,131,184,325,189,2780,Brent D. Slife
512,0.14,0.48,4820,9.5,1,0,14,0,0,15,1,2144.1311666666666,2,52.267,1470,44,395,234,6762,477000,Brent W. Webb
2948,0.13,0.48,10458,7.7,3,8,11,8,4,34,0,2726.808,13,233.065,2560,211,647,1228,399,9510,Brett G. Scharffs
654,0.15,0.53,5457,7.0,1,15,18,4,2,40,0,1881.8666666666666,3,272.25,1571,91,466,694,3115,9510,Brett G. Scharffs
9,0.15,0.48,4029,7.8,0,3,1,3,0,7,2,1599.168,5,3.71,1462,58,116,293,3689,5680000,Brian Evans
841,0.12,0.47,3370,7.4,0,1,1,6,0,8,1,1729.6035,4,57.042,1232,99,286,196,1624,2070000,Brian Santiago
5002,0.15,0.53,4977,7.5,6,2,0,0,0,8,2,1528.1706666666666,2,5.634,1430,112,105,398,5677,493000,Bruce A. Chadwick
186,0.17,0.51,4927,6.0,1,7,21,6,5,40,2,2062.442666666667,15,197.37,1581,38,23,848,3577,14600,Bruce C. Hafen
116,0.14,0.53,5752,8.2,5,1,1,5,2,14,0,2198.421333333333,12,12.813,1817,54,563,395,12869,14600,Bruce C. Hafen
300,0.16,0.53,6740,9.1,1,1,1,1,0,4,1,1879.744,10,157.538,1734,123,474,351,14196,14600,Bruce C. Hafen
903,0.12,0.45,4614,8.4,0,2,3,2,0,7,1,1395.392,3,28.0,1526,91,184,153,6223,800000,Bruce Carlson
