Pageviews,Polarity,Subjectivity,WordCount,FleschReadingEase,Ot,Nt,Bom,Dyc,Pogp,AllScriptureCount,NameMentions,TimeElapsed,AppealToAuthority,WeToYouRatio,WordQuantity,UseOfI,WordsInItalics,QuotesInQuotationMarks,DaysElapsed,NameSearchResults,Name
49,0.12,0.39,4469,9.0,0,1,0,0,0,1,0,1914.6346666666666,2,20.161,1575,13,742,541,513,28500,D. Todd Christofferson
106,0.15,0.57,4761,6.2,5,11,14,8,0,38,0,1712.8106666666667,9,46.023,1384,61,1383,706,6608,28500,D. Todd Christofferson
5,0.11,0.45,4451,7.7,4,11,2,2,0,19,1,2123.4935,14,75.625,1369,46,1192,369,2508,28500,D. Todd Christofferson
1435,0.16,0.5,2492,7.3,0,4,1,1,0,6,2,1072.4906666666666,6,14.235,938,25,561,370,3750,28500,D. Todd Christofferson
1414,0.18,0.54,5130,7.4,2,5,25,11,5,48,1,1491.648,6,243.559,1437,27,1515,618,4312,28500,D. Todd Christofferson
26,0.16,0.53,6060,7.6,4,13,11,9,0,37,0,2236.096,8,135.674,1617,66,499,641,4762,28500,D. Todd Christofferson
120,0.32,0.48,3760,6.4,0,3,6,1,2,12,0,1438.3786666666667,10,12.852,1247,55,371,328,4914,3250000,Dale E. Miller
1571,0.07,0.44,3987,7.9,3,6,2,0,0,11,0,1354.0906666666667,0,13.793,1238,88,177,166,4872,30700,Dale E. Monson
24,0.1,0.47,3609,7.6,0,2,2,0,0,4,0,1589.9666666666667,9,542.769,1305,38,114,285,1162,8870,Dale G. Renlund
1924,0.12,0.49,4779,6.7,6,5,7,1,2,21,1,1695.855,6,153.0,1553,82,364,422,2086,2510,Dallan R. Moody
542,0.12,0.49,4779,6.7,6,5,7,1,2,21,1,1695.855,6,153.0,1553,82,364,422,2086,2510,Dallan R. Moody
455,0.17,0.5,4461,7.1,3,4,13,4,0,24,0,2126.216,12,86.4,1467,70,931,586,8344,42500,Dallin H. Oaks
5167,0.2,0.5,6102,9.0,1,3,13,18,1,36,0,2599.958666666667,49,210.25,1432,58,661,889,8934,42500,Dallin H. Oaks
1763,0.17,0.51,5355,9.0,4,5,2,12,1,24,0,2120.384,5,37.77,1447,93,616,575,15778,42500,Dallin H. Oaks
2224,0.2,0.51,3818,7.4,1,5,1,5,0,12,0,1368.4266666666667,12,44.0,1225,62,220,99,12117,42500,Dallin H. Oaks
8,0.05,0.53,3336,7.2,4,11,13,3,1,32,0,1500.1813333333334,3,100.038,942,29,373,273,11732,42500,Dallin H. Oaks
3221,0.12,0.47,3497,10.7,0,4,3,1,0,8,0,1962.5546666666667,4,185.143,1244,42,647,247,434,42500,Dallin H. Oaks
477,0.14,0.48,5075,9.7,1,1,1,1,0,4,2,1696.0853333333334,6,24.845,1561,80,400,220,15057,42500,Dallin H. Oaks
579,0.17,0.58,5144,7.5,1,4,18,8,15,46,1,2290.7093333333332,5,497.818,1384,58,683,399,10999,42500,Dallin H. Oaks
1099,0.17,0.42,4442,8.1,0,2,4,3,0,9,2,1695.5863333333334,18,961.0,1340,43,912,162,9751,42500,Dallin H. Oaks
3870,0.19,0.52,2703,7.6,1,3,0,0,0,4,0,1281.7871666666667,8,18.27,936,32,998,75,2042,42500,Dallin H. Oaks
2458,0.07,0.47,4708,9.9,0,3,0,9,0,12,0,1467.7546666666667,6,52.267,1483,47,407,568,16366,42500,Dallin H. Oaks
4205,0.34,0.51,1999,7.5,1,4,4,2,1,12,0,966.5693333333334,3,29.762,724,17,309,121,831,42500,Dallin H. Oaks
143,0.13,0.54,4908,7.2,1,29,12,7,0,49,0,1742.528,4,336.842,1425,73,1115,565,7205,42500,Dallin H. Oaks
436,0.13,0.48,5269,8.9,0,1,4,8,0,13,0,1698.8373333333334,12,121.5,1497,88,128,262,13202,42500,Dallin H. Oaks
4954,0.18,0.55,4452,9.5,1,14,9,6,0,30,0,2167.488,11,156.056,1242,57,1000,374,7030,42500,Dallin H. Oaks
867,0.09,0.53,4437,7.8,3,3,29,5,1,41,2,1923.4133333333334,5,69.136,1295,49,453,739,9970,42500,Dallin H. Oaks
938,0.09,0.54,5327,8.3,2,7,13,9,0,31,2,2341.136,15,432.0,1551,46,765,529,8498,42500,Dallin H. Oaks
903,0.16,0.55,4873,8.5,2,5,12,17,0,36,0,2281.808,11,183.211,1394,37,186,375,9298,42500,Dallin H. Oaks
271,0.12,0.47,6934,9.3,0,0,1,0,0,1,1,2163.0506666666665,10,57.246,1853,201,286,384,15414,42500,Dallin H. Oaks
149606,0.17,0.48,3898,7.8,1,2,1,5,0,9,2,1673.5786666666668,6,174.05,1141,55,192,181,5775,42500,Dallin H. Oaks
7,0.09,0.51,5398,8.8,1,17,6,6,0,30,0,3108.1626666666666,9,279.273,1557,41,562,491,2263,42500,Dallin H. Oaks
10,0.12,0.51,4039,9.4,0,10,0,5,0,15,0,1683.4773333333333,7,1408.333,1210,29,719,345,6860,42500,Dallin H. Oaks
10,0.1,0.45,4120,7.6,0,0,0,1,0,1,0,1521.664,4,41.286,1368,71,74,138,4760,42500,Dallin H. Oaks
562,0.13,0.42,4774,7.4,0,3,8,1,0,12,1,1857.0936666666666,14,21.966,1393,151,483,900,2198,19200,Damon L. Bahr
1484,0.12,0.5,4052,7.3,1,5,4,2,1,13,2,1330.1973333333333,8,48.431,1265,72,710,478,4557,21300,Dana T. Griffen
3493,0.14,0.46,4800,7.9,0,2,0,6,0,8,1,1528.6706666666666,12,138.286,1395,68,576,404,3094,26900000,Daniel E. Johnson
1798,0.22,0.46,2899,7.7,0,2,0,0,0,2,0,1608.0426666666667,2,18.286,1076,52,387,0,6412,298000,Daniel J. Fairbanks
11,0.18,0.5,5161,7.8,0,5,15,12,0,32,1,1606.9973333333332,28,60.089,1514,88,753,753,4732,611000,Daniel K. Judd
3392,0.21,0.5,2657,9.3,0,3,3,7,0,13,1,1310.6186666666667,7,45.432,927,35,116,363,3498,174000,David A. Bednar
2016,0.16,0.48,3499,8.2,1,0,11,1,0,13,1,1315.8613333333333,26,23.148,1024,47,300,135,4578,174000,David A. Bednar
764,0.18,0.46,5405,7.6,1,7,30,30,3,71,1,2376.384,7,79.529,1426,69,300,245,3943,174000,David A. Bednar
25,0.19,0.57,4778,8.3,0,1,13,0,0,14,1,1695.7653333333333,9,192.045,1233,85,80,1079,5873,174000,David A. Bednar
175,0.14,0.48,4342,8.2,0,1,10,12,0,23,0,1627.3106666666667,0,77.067,1383,59,697,413,3458,32100000,David A. Thomas
128,0.22,0.52,3804,5.4,0,1,0,1,0,2,0,1875.3066666666666,18,14.759,1177,97,42,506,15234,73400,David B. Haight
214,0.2,0.5,4297,8.3,0,1,1,1,0,3,2,1949.0346666666667,35,37.356,1378,47,2018,635,13834,73400,David B. Haight
1129,0.14,0.52,4482,5.6,1,4,0,4,0,9,1,1730.9226666666666,13,28.058,1379,34,217,651,13498,73400,David B. Haight
471,0.14,0.53,4468,8.2,1,2,0,9,1,13,0,2161.0026666666668,15,0.696,1346,34,752,389,11587,73400,David B. Haight
2432,0.2,0.5,3890,8.0,2,4,1,13,1,21,0,1744.9173333333333,5,8.667,1247,47,454,726,10955,73400,David B. Haight
15,0.15,0.5,3674,7.4,1,7,1,2,0,11,0,1654.464,13,12.012,1243,31,174,361,14261,73400,David B. Haight
1387,0.14,0.53,4970,7.7,0,3,16,4,1,24,0,2055.173,1,351.22,1330,75,558,363,2674,14900,David B. Paxman
4567,0.22,0.53,4905,7.5,1,3,10,0,0,14,4,1820.2106666666666,0,5.818,1393,204,15,576,419,2680,David C. Dollahite
3822,0.15,0.49,4036,9.7,0,0,2,15,1,18,0,1643.5826666666667,8,117.6,1227,56,293,164,3087,229000000,David Day
23,0.19,0.53,5081,5.7,4,7,3,4,2,20,1,2097.5146666666665,13,19.063,1430,79,140,648,4643,1050000,David E. Sorensen
121,0.19,0.51,3655,4.8,1,0,8,0,0,9,2,1315.4986666666666,1,24.923,1021,95,180,1102,5726,1050000,David E. Sorensen
702,0.17,0.48,3827,7.4,1,6,2,2,0,11,1,1453.0773333333334,3,31.041,1353,39,309,443,5299,1050000,David E. Sorensen
465,0.21,0.5,4295,7.1,0,0,18,4,0,22,1,1669.1786666666667,9,38.754,1145,71,641,427,1113,10300000,David F. Evans
107,0.15,0.53,5386,6.4,3,16,55,18,0,92,1,1767.1706666666666,12,193.143,1583,70,658,745,476,11900000,David H. Moore
140,0.21,0.55,5135,7.4,1,24,5,6,6,42,0,2518.2386666666666,2,13.364,1188,45,1121,625,12537,278000,David H. Yarn Jr.
10,0.21,0.55,5135,7.4,1,24,5,6,6,42,0,2518.2386666666666,2,13.364,1188,45,1121,625,12537,278000,David H. Yarn Jr.
27,0.18,0.5,4487,7.8,0,7,13,5,0,25,0,1611.7226666666666,3,198.375,1347,84,516,455,3472,11000,David L. Kooyman
24,0.01,0.56,5371,8.7,0,2,2,5,0,9,0,2664.512,8,64.8,1609,30,1112,194,6636,531000,David L. Paulsen
6,0.14,0.48,4207,7.1,0,0,0,0,0,0,0,2075.306666666667,0,59.522,1219,12,107,144,4438,611000,David McCullough
33,0.19,0.54,5459,7.5,13,10,8,4,5,40,1,1885.5873333333334,5,328.409,1529,61,168,1032,1757,2470,David Rolph Seely
81,0.16,0.55,4136,7.5,1,1,3,1,1,7,1,1306.5286666666666,4,132.3,1095,108,499,90,3157,50400,David V. Dearden
9,0.17,0.51,4149,8.2,0,3,0,1,0,4,0,1388.4445,4,25.988,1303,36,219,225,1015,7730000,David W. Hart
7,0.19,0.5,3827,5.8,3,4,1,0,0,8,1,1618.3906666666667,4,30.316,1067,78,202,273,749,1210000,Dean M. Davies
10,0.22,0.49,4553,7.0,0,0,2,2,0,4,0,1501.0946666666666,2,333.0,1138,85,123,150,3647,2040000,Deborah Dean
5845,0.3,0.51,1005,8.8,0,1,1,0,0,2,0,384.33866666666665,0,13.474,431,6,19,78,3134,10200,Dee T. Allsop
118,0.23,0.5,899,8.2,0,0,0,0,0,0,0,337.93466666666666,0,13.0,394,18,20,50,3022,10200,Dee T. Allsop
164,0.19,0.51,3459,7.6,0,0,5,0,0,5,1,1487.2106666666666,5,39.34,1076,57,110,292,3801,1000,Delora Bertelsen
575,0.06,0.47,4370,6.7,0,0,3,3,0,6,1,1336.3413333333333,10,21.043,1325,68,634,325,4634,3130000,Dennis A. Wright
4699,0.13,0.52,5193,7.0,1,1,8,0,4,14,0,1810.112,8,565.786,1269,73,722,651,7126,9640,Dennis B. Neuenschwander
361,0.19,0.59,4022,6.9,7,8,19,6,3,43,2,1305.9413333333334,4,216.6,1085,33,263,902,5488,9640,Dennis B. Neuenschwander
3542,0.15,0.53,4159,7.6,0,4,3,4,1,12,0,1759.5946666666666,3,339.765,1304,46,597,157,5761,3150,Dennis L. Largey
12355,0.14,0.48,4395,5.7,14,12,1,14,1,42,1,1829.5368333333333,8,167.538,1393,77,171,605,12257,121000,Derek A. Cuthbert
259,0.19,0.49,4222,9.6,0,4,5,4,2,15,0,1891.8341666666668,18,43.243,1370,45,900,357,2422,295000,Derek A. Marquis
728,0.14,0.54,3253,6.9,0,2,8,1,0,11,0,1319.1866666666667,4,30.769,1082,124,365,155,168,122,Diane Thueson Reich
619,0.19,0.52,3292,8.7,0,4,1,0,0,5,0,1479.3566666666666,5,172.098,1110,33,0,236,903,25400,Diane Strong-Krause
2055,0.14,0.54,3253,6.9,0,2,8,1,0,11,0,1319.1866666666667,4,30.769,1082,124,365,155,168,122,Diane Thueson Reich
4074,0.23,0.5,1937,8.1,0,0,0,0,0,0,0,937.6586666666667,2,6.125,736,35,0,9,3862,758000,Dick Cheney
1037,0.26,0.53,2438,6.8,0,1,3,2,0,6,1,1167.9146666666666,4,15.789,935,31,101,252,3134,89100,Dieter F. Uchtdorf
1660,0.23,0.52,5340,7.6,0,10,5,6,5,26,1,2144.96,14,121.684,1409,34,690,343,4109,89100,Dieter F. Uchtdorf
647,0.19,0.52,4079,6.9,2,8,11,2,0,23,0,1784.8533333333332,6,2.178,1416,24,510,551,5124,89100,Dieter F. Uchtdorf
29,0.12,0.53,6403,9.4,1,2,9,0,0,12,0,1550.6986666666667,0,2314.286,1329,69,340,193,5012,9080,Dilworth B. Parkinson
35,0.15,0.47,1015,9.6,1,0,0,0,0,1,0,774.5306666666667,1,9.091,468,24,78,13,831,79800,Donald B. Doty
12631,0.19,0.51,3532,8.3,2,1,3,5,0,11,0,2274.6626666666666,11,141.235,1207,65,166,362,1743,17200,Donald L. Hallstrom
4603,0.16,0.48,3759,7.4,0,4,4,9,0,17,1,1809.1106666666667,8,108.696,1256,39,283,327,2541,17200,Donald L. Hallstrom
3127,0.19,0.48,6634,8.0,0,2,6,2,0,10,1,1966.08,27,7.681,1689,65,89,751,5378,5180,Donald L. Staheli
1701,0.21,0.48,4526,7.6,3,0,4,0,0,7,1,1406.9973333333332,17,15.82,1272,44,103,537,4179,5180,Donald L. Staheli
1739,0.26,0.52,4519,8.3,3,2,13,6,0,24,0,1823.0826666666667,9,81.281,1421,25,322,551,6377,2170000,Donald N. Wright
4355,0.16,0.51,4159,6.4,18,7,9,3,0,37,3,1713.9685,31,75.571,1364,39,817,352,1939,308000,Donald W. Parry
11704,0.18,0.49,3196,5.8,1,0,0,2,0,3,1,1344.5333333333333,9,96.333,1134,49,414,287,4954,199000,Donna Smith Packer
18837,0.19,0.53,4923,6.6,2,9,42,12,5,70,0,1858.0586666666666,12,303.114,1430,45,611,666,308,1670000,Douglas D. Holmes
1247,0.19,0.53,4923,6.6,2,9,42,12,5,70,0,1858.0586666666666,12,303.114,1430,45,611,666,308,1670000,Douglas D. Holmes
994,0.18,0.51,4166,8.2,1,3,3,1,0,8,1,1614.2235,5,115.014,1097,88,53,447,2317,1950,Douglas F. Prawitt
1394,0.19,0.52,4474,6.7,1,1,2,1,1,6,0,1471.1466666666668,15,86.7,1510,51,313,598,4081,17400,Douglas L. Callister
2430,0.13,0.44,4490,7.4,1,0,1,0,0,2,1,1838.8831666666667,14,35.042,1491,105,654,136,7350,349,Douglas M. Chabries
11660,0.14,0.46,3457,7.7,0,7,2,4,0,13,0,1258.8586666666667,4,13.091,1110,64,326,123,4571,349,Douglas M. Chabries
16,0.18,0.55,3765,8.7,1,10,7,2,1,21,0,1676.234,1,333.062,1207,44,479,211,1981,28300,Douglas R. McKinlay
7,0.23,0.48,4533,6.6,0,4,6,4,0,14,1,1421.6746666666666,5,165.586,1145,85,477,481,4900,535000,Scott Duvall
7,0.21,0.48,5813,6.7,0,1,1,2,0,4,2,1755.4773333333333,43,67.846,1538,106,810,745,6958,27900,E. Dale LeBaron
12,0.19,0.48,4744,5.8,0,1,1,0,0,2,0,2008.0788333333333,13,86.486,1528,75,404,438,896,24800000,E. Jeffrey Hill
8,0.19,0.49,5682,7.6,2,0,2,2,11,17,0,2544.770666666667,2,33.062,1326,62,448,319,3600,4870,Earl C. Tingey
23,0.17,0.52,3476,6.9,1,0,0,7,1,9,1,1681.4293333333333,10,31.391,986,46,755,112,3822,4870,Earl C. Tingey
481,0.19,0.53,4241,8.3,1,1,2,1,6,11,0,1418.2613333333334,0,177.231,1334,37,220,179,5292,7720,Earl K. Stice
24,0.15,0.49,4164,9.6,4,1,7,0,0,12,0,1435.328,0,156.481,1210,59,521,377,6258,43700,Earl M. Woolley
19,0.27,0.55,4845,7.0,0,4,2,0,0,6,1,1974.2933333333333,21,131.273,1305,52,1004,711,6496,1610,Earlene Durrant
650,0.08,0.42,3955,8.1,1,0,1,0,0,2,1,1325.944,10,224.308,1367,55,279,248,2387,31100000,Ed Adams
966,0.15,0.5,4926,8.0,1,2,0,1,0,4,1,1785.4958333333334,0,75.0,1476,125,44,693,784,4820,Edward Eyestone
848,0.16,0.5,3494,7.4,4,4,4,4,0,16,2,1505.984,23,325.0,1127,29,510,370,5663,654000,Edwin G. Austin Jr.
8391,0.16,0.5,3494,7.4,4,4,4,4,0,16,2,1505.984,23,325.0,1127,29,510,370,5663,654000,Edwin G. Austin Jr.
14,0.17,0.5,5363,6.8,0,3,0,0,0,3,1,2043.9253333333334,2,75.239,1410,104,632,570,13146,359000,Elaine A. Cannon
132,0.22,0.53,4604,6.7,1,7,6,0,0,14,0,1741.52,1,46.621,1263,136,565,295,9387,1110000,Elaine L. Jack
42,0.21,0.53,4953,7.0,1,1,8,1,1,12,0,1913.9786666666666,2,162.613,1440,43,723,343,9088,1110000,Elaine L. Jack
56,0.09,0.52,3913,5.4,1,6,4,1,0,12,0,1607.852,1,34.306,1369,30,232,345,8771,1110000,Elaine L. Jack
171,0.13,0.48,6568,6.7,2,0,11,2,1,16,1,2532.548,6,180.327,1625,119,667,1303,9669,1110000,Elaine L. Jack
793,0.15,0.48,5166,6.8,0,8,4,3,1,16,0,1638.7626666666667,3,51.372,1596,50,433,651,7625,1110000,Elaine L. Jack
292,0.09,0.47,3564,6.2,3,11,4,0,0,18,1,1160.2133333333334,8,19.114,1304,41,112,321,5523,658000,Elaine S. Marshall
2055,0.21,0.52,4480,7.1,0,1,2,2,0,5,1,1488.576,10,202.5,1274,41,307,175,5733,29300,Elaine Michaelis
4137,0.2,0.54,4265,6.5,1,4,6,4,0,15,0,1372.864,10,237.552,1230,40,535,677,4953,409000,Elaine S. Dalton
12,0.22,0.51,5267,7.1,3,4,4,9,2,22,0,2094.2691666666665,10,32.143,1425,69,343,538,1771,409000,Elaine S. Dalton
5,0.18,0.54,8165,5.6,1,6,22,13,2,44,0,3282.1586666666667,6,38.617,1831,142,956,628,2991,409000,Elaine S. Dalton
1285,0.09,0.47,3564,6.2,3,11,4,0,0,18,1,1160.2133333333334,8,19.114,1304,41,112,321,5523,658000,Elaine S. Marshall
329,0.08,0.52,3363,7.3,2,5,2,0,0,9,0,1213.8026666666667,0,43.103,1034,71,124,280,5593,356000,Elaine Walton
365,0.1,0.51,3586,6.5,0,0,1,0,1,2,0,1446.9333333333334,10,7.579,1298,31,360,442,5719,13900,Eric B. Shumway
4302,0.11,0.49,4518,8.1,0,1,5,3,2,11,2,1637.52,2,15.244,1627,22,240,219,224,37600,Eric Gillett
1485,0.25,0.5,5183,8.8,6,1,8,6,2,23,1,2129.703666666667,5,155.314,1460,67,556,511,1085,1430,Erich W. Kopischke
1475,0.14,0.46,4624,5.5,3,0,1,2,0,6,0,1400.0426666666667,6,72.2,1380,142,506,436,3031,20200,Erin D. Maughan
240,0.16,0.5,4781,6.4,6,2,0,1,0,9,0,2007.0746666666666,11,108.507,1237,143,798,393,231,183000,Erin Kramer Holmes
521,0.16,0.49,17644,9.8,0,1,13,2,0,16,1,2458.304,39,176.947,3871,78,7052,1089,15071,101000,Ernest L. Wilkinson
379,0.13,0.44,7081,9.9,0,0,0,0,0,0,1,2830.016,49,5.333,1861,19,284,234,15748,101000,Ernest L. Wilkinson
422,0.18,0.49,5452,8.8,0,4,3,2,0,9,2,2029.248,7,53.289,1551,85,958,166,6825,9030,Eugene H. Bramhall
1409,0.17,0.51,4617,8.2,6,3,4,3,1,17,1,1610.8346666666666,17,176.333,1427,91,741,517,147,597,Eva Witesman
9,0.22,0.51,3736,7.6,1,13,3,3,0,20,0,1842.88,10,25.0,1088,32,1263,429,14487,71600,Ezra Taft Benson
6,0.18,0.46,3164,8.4,0,0,1,5,0,6,1,1909.44,11,696.2,1089,22,74,302,11389,71600,Ezra Taft Benson
5,0.15,0.51,3637,6.0,1,1,3,2,0,7,1,1869.1626666666666,33,25.689,987,35,664,780,13783,71600,Ezra Taft Benson
306,0.18,0.46,7369,8.8,1,0,8,3,0,12,2,3112.981333333333,22,21.564,1959,101,1648,623,14848,71600,Ezra Taft Benson
2379,0.24,0.49,4553,6.8,1,1,1,0,0,3,1,2171.925333333333,7,30.488,1220,17,197,308,14142,71600,Ezra Taft Benson
1278,0.15,0.54,5227,6.9,0,4,2,6,0,12,1,2901.2786666666666,25,102.083,1401,47,356,634,15687,71600,Ezra Taft Benson
715,0.16,0.47,2659,6.8,3,2,6,6,0,17,0,1806.3573333333334,2,33.333,917,13,34,231,10997,71600,Ezra Taft Benson
16,0.24,0.52,4448,8.1,0,0,1,1,0,2,0,1853.8026666666667,15,206.286,1372,56,1226,354,16058,71600,Ezra Taft Benson
170,0.26,0.53,4529,8.5,4,0,0,0,0,4,2,1870.1866666666667,11,14.727,1467,63,1119,388,16275,71600,Ezra Taft Benson
57,0.2,0.51,3505,7.1,0,6,0,17,0,23,0,1791.3386666666668,4,7.0,1041,27,643,139,13370,71600,Ezra Taft Benson
238,0.15,0.51,3505,5.5,1,1,6,2,0,10,1,1890.6666666666667,13,39.2,1110,49,1279,617,12470,71600,Ezra Taft Benson
398,0.13,0.44,3949,8.7,3,0,0,7,0,10,0,2014.2293333333334,6,21.356,1283,36,398,212,14833,71600,Ezra Taft Benson
1107,0.16,0.55,5956,5.9,0,1,7,7,0,15,0,2299.5553333333332,6,112.862,1534,95,332,389,12805,774000,F. Burton Howard
2993,0.17,0.51,4863,6.8,2,3,2,3,8,18,0,1954.28,5,141.261,1399,109,168,383,12236,774000,F. Burton Howard
1373,0.24,0.52,3192,6.5,0,2,0,3,1,6,1,1602.5813333333333,3,60.75,1015,57,65,220,5033,217000,F. Melvin Hammond
478,0.15,0.52,3221,6.8,0,3,2,4,0,9,0,2610.619,9,2.778,1182,54,295,275,10745,217000,F. Melvin Hammond
24,0.22,0.55,4067,5.2,0,1,4,6,1,12,1,2011.136,11,28.471,1207,96,133,501,5397,217000,F. Melvin Hammond
987,0.13,0.38,5234,12.3,1,1,0,0,0,2,0,2204.583833333333,6,72.053,1568,39,36,96,2828,13300000,Francis E. George
757,0.23,0.47,4189,7.3,1,8,0,11,0,20,0,2236.9706666666666,15,78.818,1268,44,334,474,12525,4720000,Franklin D. Richards
92,0.21,0.55,3082,6.9,0,0,2,0,0,2,0,1445.4026666666666,5,222.368,1082,23,38,319,5530,286000,Fraser Bullock
397,0.23,0.48,2473,6.8,0,2,0,2,0,4,0,1046.5158333333334,7,83.769,893,38,394,249,12782,922,Fred A. Schwendiman
461,0.18,0.46,4961,8.1,0,1,0,0,0,1,2,1681.529,9,65.333,1657,53,596,821,3346,5980000,Fred E. Woods
78,0.14,0.44,4085,12.1,0,0,0,0,0,0,1,2573.9016666666666,10,39.2,1454,66,31,42,8785,550000,Gary Browning
636,0.18,0.52,4446,8.7,0,8,5,10,0,23,0,4590.593666666667,6,313.471,1359,77,422,373,1582,806000,Gary C. Barton
568,0.22,0.47,3895,5.9,1,0,1,8,0,10,0,1913.6655,4,84.211,1013,126,798,112,1652,1860,Gary E. Arnoldson
116,0.21,0.52,2808,7.1,4,0,1,0,0,5,0,1669.9546666666668,16,50.704,1003,38,711,276,1407,837000,Gary E. Stevenson
889,0.18,0.5,4060,4.9,1,6,4,2,0,13,1,1898.8586666666667,7,207.0,1244,94,281,454,3829,1120000,Gary K. Palmer
54,0.13,0.55,6076,7.0,7,59,9,5,2,82,0,2993.7875,1,33.8,1788,19,549,1065,8666,453000,Gary L. Bunker
17,0.21,0.5,4560,8.9,0,5,7,1,1,14,0,1499.4773333333333,11,41.0,1314,73,1129,237,5341,360000,Gary R. Hooper
436,0.23,0.5,3568,7.8,0,0,3,1,0,4,2,1149.9733333333334,0,108.765,1125,59,0,123,4953,33700,Gayle Clegg
1957,0.09,0.43,802,9.4,0,0,0,0,0,0,0,691.3226666666667,4,0.333,453,9,31,149,579,13900000,Su Ge
122,0.16,0.47,5865,6.1,1,3,8,7,0,19,3,2834.696,15,7.826,1405,106,253,373,13162,3210000,Gene R. Cook
269,0.22,0.54,4046,7.3,3,4,11,13,0,31,1,1424.7466666666667,3,19.114,1181,56,674,531,4676,3210000,Gene R. Cook
70,0.31,0.48,3183,7.0,0,1,4,2,1,8,3,958.144,6,16.82,839,99,202,401,15169,3210000,Gene R. Cook
51,0.17,0.5,5561,5.8,4,3,10,5,1,23,1,1844.5866666666666,1,0.763,1401,41,205,1098,12229,3210000,Gene R. Cook
78,0.15,0.49,5201,7.5,2,7,8,5,0,22,0,2178.2238333333335,5,116.129,1695,83,283,494,8204,4430,Geoffrey J. Germane
560,0.15,0.47,5023,11.1,0,0,1,5,0,6,1,2366.696,9,54.321,1485,74,640,173,9515,2940000,George R. Hill III
358,0.17,0.54,3824,6.9,2,5,4,3,2,16,1,1737.1493333333333,7,27.524,1254,72,206,554,1449,5410,Gerald Causse
62,0.12,0.5,6072,6.6,0,3,3,9,1,16,0,2104.3413333333333,15,124.569,1507,71,405,423,7294,241000,Gerald N. Lund
83,0.1,0.54,3561,7.0,1,0,8,5,0,14,0,1443.8613333333333,10,187.267,1061,37,438,426,4165,1560000,Gerald R. Williams
182,0.21,0.51,4360,6.2,1,5,13,13,0,32,1,1937.9333333333334,10,169.28,1467,85,157,820,3899,24300,Gerrit W. Gong
569,0.19,0.52,3201,7.1,1,1,0,1,3,6,0,1564.2746666666667,5,2.133,1116,64,581,145,2817,620000,Glenn L. Pace
387,0.23,0.51,4851,7.7,5,3,1,3,1,13,0,2308.8,1,51.61,1516,114,173,441,9396,268000,Gordon B. Hinckley
269,0.31,0.55,3322,5.1,0,0,0,0,0,0,1,1515.8826666666666,1,4.76,955,58,35,329,7322,268000,Gordon B. Hinckley
120,0.24,0.55,3402,7.2,7,2,1,2,0,12,0,1654.1226666666666,1,15.721,1200,45,446,88,8435,268000,Gordon B. Hinckley
159,0.22,0.53,3554,8.3,0,0,0,0,0,0,0,1861.6533333333334,6,10.039,1090,52,163,89,9898,268000,Gordon B. Hinckley
262,0.16,0.48,3271,6.0,2,0,0,0,0,2,1,1495.4026666666666,7,23.077,1137,51,324,388,4039,268000,Gordon B. Hinckley
167,0.17,0.5,3845,7.9,1,5,0,1,0,7,1,1879.2933333333333,1,32.237,1182,72,234,293,14870,268000,Gordon B. Hinckley
107,0.13,0.54,2924,7.0,0,2,0,0,0,2,1,1573.5466666666666,2,7.042,1006,78,472,241,16128,268000,Gordon B. Hinckley
1803,0.24,0.55,3185,7.2,0,5,0,1,0,6,1,1522.7093333333332,2,17.065,1084,56,512,180,14525,268000,Gordon B. Hinckley
53,0.31,0.56,2695,5.8,3,1,3,1,0,8,0,1640.128,3,0.357,846,68,158,98,12481,268000,Gordon B. Hinckley
368,0.16,0.51,3783,9.3,0,1,0,3,0,4,1,1874.9653333333333,11,5.333,1209,46,203,231,13897,268000,Gordon B. Hinckley
747,0.16,0.53,2622,5.1,3,0,0,0,0,3,0,1315.52,2,29.037,889,59,73,127,6566,268000,Gordon B. Hinckley
41,0.17,0.53,3274,6.9,0,3,0,0,0,3,0,1539.776,3,133.389,1114,50,406,169,15729,268000,Gordon B. Hinckley
68,0.12,0.51,2466,6.1,0,3,0,1,1,5,0,1219.6053333333334,4,14.383,745,110,159,385,17549,268000,Gordon B. Hinckley
171,0.28,0.59,4098,7.1,0,2,1,1,1,5,1,2064.405333333333,10,3.252,1193,53,34,120,8071,268000,Gordon B. Hinckley
49,0.13,0.52,3264,7.4,2,4,0,4,0,10,0,1689.6213333333333,6,17.818,1077,74,755,154,14121,268000,Gordon B. Hinckley
404,0.26,0.57,2962,6.0,2,2,3,0,0,7,1,1270.8053333333332,0,2.726,994,41,126,70,6951,268000,Gordon B. Hinckley
303,0.2,0.57,3039,7.8,0,0,0,1,0,1,0,1356.48,16,161.333,947,83,1061,42,4445,268000,Gordon B. Hinckley
132,0.36,0.59,1767,7.8,0,1,0,1,0,2,0,735.936,7,13.0,715,13,115,101,5187,268000,Gordon B. Hinckley
121,0.17,0.54,3316,7.0,1,4,1,0,0,6,0,1258.176,3,3.524,1151,41,409,197,7735,268000,Gordon B. Hinckley
106,0.14,0.48,3336,7.9,0,0,0,4,0,4,1,1481.408,3,59.259,1038,46,349,198,15202,268000,Gordon B. Hinckley
