Name,Female,Male,M/F
Sokhom,12,13,1.08
Jennis,15,13,0.87
Aidyn,17,13,0.76
Donshae,17,13,0.76
Stanlee,20,13,0.65
Nazaret,27,13,0.48
Dontia,31,13,0.42
Justiss,38,13,0.34
Loghan,53,13,0.25
Di,57,13,0.23
Aza,63,13,0.21
Laverle,69,13,0.19
Tyrea,73,13,0.18
Aziah,79,13,0.16
Tennessee,96,13,0.14
Chade,101,13,0.13
Shaylan,144,13,0.09
Johnelle,336,13,0.04
Kierston,442,13,0.03
Ilia,413,13,0.03
Adriann,707,13,0.02
Bronte,554,13,0.02
Monserrat,647,13,0.02
Jacqui,834,13,0.02
Cailin,1564,13,0.01
Amaris,2241,13,0.01
Darice,1287,13,0.01
Sophie,16609,13,0
Marcie,14651,13,0
Lucile,5431,13,0
Vaugh,0,12,100
Bates,0,12,100
Endi,0,12,100
Jayr,0,12,100
Caolan,0,12,100
Jalique,0,12,100
Quinzel,0,12,100
Chananya,0,12,100
Caius,0,12,100
Jervontae,0,12,100
Vastine,0,12,100
Ondray,0,12,100
Christianjohn,0,12,100
Dirl,0,12,100
Daxx,0,12,100
Yacob,0,12,100
Marvion,0,12,100
Kethan,0,12,100
Boleslaus,0,12,100
Mohammadali,0,12,100
Avishai,0,12,100
Seiya,0,12,100
Griffyn,0,12,100
Clenon,0,12,100
Elisiah,0,12,100
Jayzon,0,12,100
Jedadia,0,12,100
Gresham,0,12,100
Cedrice,0,12,100
Tavonta,0,12,100
Etsel,0,12,100
Kurry,0,12,100
Tevaris,0,12,100
Jonquez,0,12,100
Terriss,0,12,100
Devendra,0,12,100
Leorn,0,12,100
Stig,0,12,100
Tag,0,12,100
Kyrique,0,12,100
Kazumi,0,12,100
Huley,0,12,100
Rabi,0,12,100
Wenford,0,12,100
Sadam,0,12,100
Blaik,0,12,100
Jamad,0,12,100
Amarius,0,12,100
Trinten,0,12,100
Darryus,0,12,100
Jaser,0,12,100
Jakevious,0,12,100
Darreck,0,12,100
Juba,0,12,100
Deago,0,12,100
Martarius,0,12,100
Rell,0,12,100
Raif,0,12,100
Harkaran,0,12,100
Aurthor,0,12,100
Raimon,0,12,100
Jordaan,0,12,100
Braeton,0,12,100
Tayvian,0,12,100
Celvin,0,12,100
Kunio,0,12,100
Vashone,0,12,100
Armster,0,12,100
Ronta,0,12,100
Jagr,0,12,100
Roselio,0,12,100
Wryan,0,12,100
Gladimir,0,12,100
Krik,0,12,100
Ricquan,0,12,100
Monterrious,0,12,100
Dual,0,12,100
Dearron,0,12,100
Jarvius,0,12,100
Jacent,0,12,100
Guiliano,0,12,100
Mamoon,0,12,100
Kaylib,0,12,100
Xeryus,0,12,100
Tremelle,0,12,100
Jaleek,0,12,100
Demea,0,12,100
Xzayvier,0,12,100
Jovar,0,12,100
Quontez,0,12,100
Garylee,0,12,100
Kayshaun,0,12,100
Taleek,0,12,100
Deshawnte,0,12,100
Kasten,0,12,100
Moreland,0,12,100
Sajjad,0,12,100
Booth,0,12,100
Myril,0,12,100
Runnie,0,12,100
Dalvyn,0,12,100
Kidus,0,12,100
Leangelo,0,12,100
Kaashif,0,12,100
Ryoma,0,12,100
Jader,0,12,100
Mikhal,0,12,100
Jedrek,0,12,100
Andes,0,12,100
Marquavion,0,12,100
Olatunde,0,12,100
Okeith,0,12,100
Tyhiem,0,12,100
Brayde,0,12,100
Prather,0,12,100
Raimondo,0,12,100
Ladarrin,0,12,100
Maximum,0,12,100
Saim,0,12,100
Jocquez,0,12,100
Kerr,0,12,100
Talique,0,12,100
Jenry,0,12,100
Tawfiq,0,12,100
Alishan,0,12,100
Falando,0,12,100
Kijon,0,12,100
Doninic,0,12,100
Ladavion,0,12,100
Mamoudou,0,12,100
Alfread,0,12,100
Alterick,0,12,100
Lonas,0,12,100
Jaso,0,12,100
Martain,0,12,100
Woodfin,0,12,100
Devontia,0,12,100
Kirtland,0,12,100
Kief,0,12,100
Haydan,0,12,100
Mekal,0,12,100
Dewitte,0,12,100
Duffie,0,12,100
Treyden,0,12,100
Deguan,0,12,100
Issai,0,12,100
Lewey,0,12,100
Donvan,0,12,100
Jerimyah,0,12,100
Raliek,0,12,100
Deangelio,0,12,100
Kevondre,0,12,100
Briscoe,0,12,100
Jermil,0,12,100
Giro,0,12,100
Makari,0,12,100
Casson,0,12,100
Joangel,0,12,100
Hansell,0,12,100
Creedence,0,12,100
Tirek,0,12,100
Jewan,0,12,100
Zareh,0,12,100
Wentworth,0,12,100
Jahki,0,12,100
Deedrick,0,12,100
Nektarios,0,12,100
Oluwasegun,0,12,100
Bernest,0,12,100
Ommar,0,12,100
Rykeem,0,12,100
Timorthy,0,12,100
Zakhary,0,12,100
Kemmy,0,12,100
Gevan,0,12,100
Ebay,0,12,100
Laquante,0,12,100
Lorimer,0,12,100
Kasai,0,12,100
Clift,0,12,100
Becker,0,12,100
Timothie,0,12,100
Jeanluke,0,12,100
Marcquel,0,12,100
Ambus,0,12,100
Jawaad,0,12,100
Marrico,0,12,100
Almanzo,0,12,100
Ediel,0,12,100
Germar,0,12,100
Powers,0,12,100
Eremy,0,12,100
Greyling,0,12,100
Tereance,0,12,100
Keyun,0,12,100
Lamir,0,12,100
Teray,0,12,100
Twyman,0,12,100
Izaah,0,12,100
Kenne,0,12,100
Antwanne,0,12,100
Shamaar,0,12,100
Jamms,0,12,100
Dakodah,0,12,100
Dalston,0,12,100
Donicio,0,12,100
Shue,0,12,100
Jak,0,12,100
Joseroberto,0,12,100
Dusean,0,12,100
Quraan,0,12,100
Lukeus,0,12,100
Daeon,0,12,100
Earskin,0,12,100
Stetsen,0,12,100
Farbod,0,12,100
Marjoe,0,12,100
Kenry,0,12,100
Nishawn,0,12,100
Williammichael,0,12,100
Olalekan,0,12,100
Jamarrio,0,12,100
Tirone,0,12,100
Breighton,0,12,100
Carlose,0,12,100
Donquez,0,12,100
Quindale,0,12,100
Wyett,0,12,100
Granderson,0,12,100
Lavail,0,12,100
Breylin,0,12,100
Devente,0,12,100
Procopio,0,12,100
Shail,0,12,100
Arlandis,0,12,100
Nahun,0,12,100
Imaad,0,12,100
Leonta,0,12,100
Treyshaun,0,12,100
Hazim,0,12,100
Blayden,0,12,100
Treyvor,0,12,100
Gurdon,0,12,100
Dayjon,0,12,100
Jerray,0,12,100
Shafton,0,12,100
Dovonte,0,12,100
Coal,0,12,100
Keondrae,0,12,100
Thommas,0,12,100
Zendell,0,12,100
Amontae,0,12,100
Jaen,0,12,100
Efstratios,0,12,100
Nasif,0,12,100
Kentrall,0,12,100
Ephrem,0,12,100
Xzavious,0,12,100
Tomey,0,12,100
Reynel,0,12,100
Nickales,0,12,100
Kilan,0,12,100
Dmetri,0,12,100
Mckyle,0,12,100
Tjaden,0,12,100
Jeese,0,12,100
Tobian,0,12,100
Chirs,0,12,100
Thair,0,12,100
Caedon,0,12,100
Kasib,0,12,100
Niam,0,12,100
Ridgley,0,12,100
Kohen,0,12,100
Saahir,0,12,100
Morell,0,12,100
Jedarius,0,12,100
Joes,0,12,100
Tsosie,0,12,100
Harrill,0,12,100
Mihran,0,12,100
Jaquarrius,0,12,100
Cormick,0,12,100
Tarrus,0,12,100
Zimri,0,12,100
Deloren,0,12,100
Plutarco,0,12,100
Aerik,0,12,100
Kidd,0,12,100
Kirtley,0,12,100
Golan,0,12,100
Vontae,0,12,100
Jeramaine,0,12,100
Ladarrien,0,12,100
Kevine,0,12,100
Audey,0,12,100
Jonahan,0,12,100
Henrick,0,12,100
Keaven,0,12,100
Germane,0,12,100
Tercel,0,12,100
Baggio,0,12,100
Hurchel,0,12,100
Zymir,0,12,100
Sayvion,0,12,100
Harmie,0,12,100
Allexander,0,12,100
Ahmadou,0,12,100
Khiri,0,12,100
Shaon,0,12,100
Jartavius,0,12,100
Arbaz,0,12,100
Sufian,0,12,100
Traviss,0,12,100
Sig,0,12,100
Narayana,0,12,100
Christiananthon,0,12,100
Demeturis,0,12,100
Gurvinder,0,12,100
Jaterrius,0,12,100
Phillipmichael,0,12,100
Nickalis,0,12,100
Tyvan,0,12,100
Tetsuya,0,12,100
Ashaun,0,12,100
Tyvell,0,12,100
Chaison,0,12,100
Blan,0,12,100
Jacobee,0,12,100
Olajuwan,0,12,100
Masaya,0,12,100
Amitabh,0,12,100
Alexjandro,0,12,100
Balal,0,12,100
Rhyse,0,12,100
Alexan,0,12,100
Quantas,0,12,100
Sethe,0,12,100
Jerrame,0,12,100
Jakkar,0,12,100
Laquavis,0,12,100
Chancler,0,12,100
Andreq,0,12,100
Sudhir,0,12,100
Balentin,0,12,100
Toshiro,0,12,100
Kalep,0,12,100
Kaman,0,12,100
Clauzell,0,12,100
Naithan,0,12,100
Lindburg,0,12,100
Shernard,0,12,100
Antroine,0,12,100
Iden,0,12,100
Stedmond,0,12,100
Phinehas,0,12,100
Goebel,0,12,100
Jlen,0,12,100
Croy,0,12,100
Davar,0,12,100
Amardeep,0,12,100
Custer,0,12,100
Dushan,0,12,100
Ardit,0,12,100
Inri,0,12,100
Milek,0,12,100
Johnatho,0,12,100
Yedidya,0,12,100
Dejuante,0,12,100
Joshya,0,12,100
Dymir,0,12,100
Zackeri,0,12,100
Michoel,0,12,100
Kyshon,0,12,100
Pax,0,12,100
Shyheed,0,12,100
Ove,0,12,100
Amaad,0,12,100
Amaar,0,12,100
Ke,0,12,100
Azaiah,0,12,100
Josephy,0,12,100
Rohun,0,12,100
Kannan,0,12,100
Minesh,0,12,100
Rahshon,0,12,100
Tshaka,0,12,100
Roddey,0,12,100
Daire,0,12,100
Malcon,0,12,100
Olof,0,12,100
Cogan,0,12,100
Tryce,0,12,100
Tio,0,12,100
Zair,0,12,100
Shakuan,0,12,100
Dajhon,0,12,100
Jakyle,0,12,100
Ammad,0,12,100
Prophet,0,12,100
Jowell,5,12,2.4
Jovoni,5,12,2.4
Jance,5,12,2.4
Melek,5,12,2.4
Kaimi,5,12,2.4
Tamboura,5,12,2.4
Tagen,5,12,2.4
Mystikal,5,12,2.4
Reshon,5,12,2.4
Jamisen,5,12,2.4
Ody,5,12,2.4
Jacyn,5,12,2.4
Dominek,5,12,2.4
Gagan,6,12,2
Dester,6,12,2
Kiren,6,12,2
Jamoni,6,12,2
Breckin,7,12,1.71
Haroldean,7,12,1.71
Sareth,7,12,1.71
Schuylar,8,12,1.5
Asten,8,12,1.5
Hensley,11,12,1.09
Mazi,11,12,1.09
Choyce,11,12,1.09
Mckenley,12,12,1
Femi,13,12,0.92
Kashka,16,12,0.75
Edis,16,12,0.75
Tobbie,17,12,0.71
Shamonte,22,12,0.55
Aerion,24,12,0.5
Cozy,26,12,0.46
Callaway,30,12,0.4
Shayde,31,12,0.39
Damilola,34,12,0.35
Jermani,37,12,0.32
Satya,47,12,0.26
Uganda,46,12,0.26
Kadence,64,12,0.19
Teagen,65,12,0.18
Matisse,77,12,0.16
Farin,78,12,0.15
Erine,88,12,0.14
Demetress,122,12,0.1
Rendy,141,12,0.09
Chalon,133,12,0.09
Shamere,154,12,0.08
Truc,160,12,0.07
Raylee,166,12,0.07
Cyan,256,12,0.05
Nara,241,12,0.05
Linder,302,12,0.04
Alexiss,319,12,0.04
Keala,345,12,0.03
Egypt,397,12,0.03
Sian,437,12,0.03
Cidney,422,12,0.03
Rori,703,12,0.02
Jamye,760,12,0.02
Selah,516,12,0.02
Jacee,510,12,0.02
Romayne,512,12,0.02
Roshell,570,12,0.02
Keziah,600,12,0.02
Meena,511,12,0.02
Avalon,798,12,0.02
Nikkia,1310,12,0.01
Kizzy,2255,12,0.01
Jaymee,1173,12,0.01
Gwynne,1290,12,0.01
Demetra,3518,12,0
Isabella,22493,12,0
Shani,3624,12,0
Yessenia,4480,12,0
Lenora,19559,12,0
Cheri,35759,12,0
Arline,7447,12,0
Lesa,11346,12,0
Shanell,3671,12,0
Jolene,26050,12,0
Carissa,20662,12,0
Windy,4747,12,0
Cornelia,9900,12,0
Kisha,6449,12,0
Lakisha,12133,12,0
Kenia,2758,12,0
Bonita,34748,12,0
Sukhraj,0,11,100
Davario,0,11,100
Lb,0,11,100
Demarcio,0,11,100
Eleodoro,0,11,100
Quiency,0,11,100
Arness,0,11,100
Gerrin,0,11,100
Deantwan,0,11,100
Shamario,0,11,100
Kereem,0,11,100
Neelesh,0,11,100
Adilson,0,11,100
Sachit,0,11,100
Lowman,0,11,100
Khalel,0,11,100
Kurosh,0,11,100
Eliecer,0,11,100
Daonte,0,11,100
Timothyy,0,11,100
Markius,0,11,100
Kamarri,0,11,100
Valdo,0,11,100
Kealon,0,11,100
Bass,0,11,100
Khamal,0,11,100
Kevaun,0,11,100
Neilan,0,11,100
Malaquias,0,11,100
Eith,0,11,100
Audiel,0,11,100
Jacquille,0,11,100
Quatrell,0,11,100
Hurmon,0,11,100
Timohy,0,11,100
Jeffon,0,11,100
Tanar,0,11,100
Blynn,0,11,100
Deyontae,0,11,100
Tederick,0,11,100
Jamair,0,11,100
Momodou,0,11,100
Shoji,0,11,100
Abdulkarim,0,11,100
Printess,0,11,100
Sylus,0,11,100
Speros,0,11,100
Jamesryan,0,11,100
Kajon,0,11,100
Jarrot,0,11,100
Azar,0,11,100
Brentan,0,11,100
Granite,0,11,100
Verlen,0,11,100
Austinjohn,0,11,100
Honorato,0,11,100
Rodrekus,0,11,100
Roddell,0,11,100
Leemichael,0,11,100
Quinell,0,11,100
Ossama,0,11,100
Windol,0,11,100
Hassani,0,11,100
Kardarius,0,11,100
Gurkirat,0,11,100
Ishman,0,11,100
Jaquaris,0,11,100
Elizar,0,11,100
Keaghan,0,11,100
Emiel,0,11,100
Stevephen,0,11,100
Bhargav,0,11,100
Dietmar,0,11,100
Fray,0,11,100
Mykol,0,11,100
Lunsford,0,11,100
Eljay,0,11,100
Trevien,0,11,100
Axell,0,11,100
Yousaf,0,11,100
Rohil,0,11,100
Earron,0,11,100
Kentez,0,11,100
Dylanger,0,11,100
Pauljohn,0,11,100
Juanpedro,0,11,100
Dontonio,0,11,100
Leri,0,11,100
Lavester,0,11,100
Samael,0,11,100
Jakeith,0,11,100
Demitrie,0,11,100
Boss,0,11,100
Arl,0,11,100
Yung,0,11,100
Masaichi,0,11,100
Jovanta,0,11,100
Jayston,0,11,100
Inaki,0,11,100
Izhar,0,11,100
Kylo,0,11,100
Curtus,0,11,100
Brodus,0,11,100
Quaashie,0,11,100
Tyrence,0,11,100
Yekusiel,0,11,100
Donnavin,0,11,100
Chisholm,0,11,100
Demarrea,0,11,100
Lindale,0,11,100
Caison,0,11,100
Antyon,0,11,100
Kevontay,0,11,100
Makaveli,0,11,100
Jerrud,0,11,100
Cavell,0,11,100
Buckie,0,11,100
Suriel,0,11,100
Magno,0,11,100
Avier,0,11,100
Martinjr,0,11,100
Jayvone,0,11,100
Rashe,0,11,100
Garrik,0,11,100
Elonte,0,11,100
Johnphillip,0,11,100
Awan,0,11,100
Wolfe,0,11,100
Benjmain,0,11,100
Dulani,0,11,100
Maliak,0,11,100
Desten,0,11,100
Lorenzia,0,11,100
Almonte,0,11,100
Jaivion,0,11,100
Zayvion,0,11,100
Manfried,0,11,100
Austintyler,0,11,100
Demarian,0,11,100
Dearon,0,11,100
Kertis,0,11,100
Vol,0,11,100
Turell,0,11,100
Jerrall,0,11,100
Saford,0,11,100
Naoya,0,11,100
Gokul,0,11,100
Gerid,0,11,100
Ermil,0,11,100
Mano,0,11,100
Ariston,0,11,100
Cardel,0,11,100
Keson,0,11,100
Taymon,0,11,100
Angleo,0,11,100
Tyquail,0,11,100
Mattan,0,11,100
Rahson,0,11,100
Varney,0,11,100
Larney,0,11,100
Agnew,0,11,100
Oshawn,0,11,100
Terray,0,11,100
Alexandor,0,11,100
Ripken,0,11,100
Osirus,0,11,100
Saben,0,11,100
Deangello,0,11,100
Rahshad,0,11,100
Rahshan,0,11,100
Jakeil,0,11,100
Howland,0,11,100
Kiyle,0,11,100
Oz,0,11,100
Flemming,0,11,100
Kimbel,0,11,100
Deamontae,0,11,100
Rogie,0,11,100
Jaymison,0,11,100
Antown,0,11,100
Sayan,0,11,100
Jos,0,11,100
Donquell,0,11,100
Meric,0,11,100
Deaundrey,0,11,100
Samee,0,11,100
Travolta,0,11,100
Jaliyl,0,11,100
Virden,0,11,100
Noan,0,11,100
Markiest,0,11,100
Kuan,0,11,100
Derome,0,11,100
Ruban,0,11,100
Kunj,0,11,100
Gerran,0,11,100
Pater,0,11,100
Mccormick,0,11,100
Denham,0,11,100
Shadron,0,11,100
Jerwin,0,11,100
Trenon,0,11,100
Kevinn,0,11,100
Tyvion,0,11,100
Rayshod,0,11,100
Adderly,0,11,100
Ruy,0,11,100
Dairius,0,11,100
Earlon,0,11,100
Deriek,0,11,100
Coel,0,11,100
Delmond,0,11,100
Montarious,0,11,100
Thaddaus,0,11,100
Hewey,0,11,100
Kable,0,11,100
Ervil,0,11,100
Driton,0,11,100
Nagi,0,11,100
Mecos,0,11,100
Kadden,0,11,100
Antavion,0,11,100
Swayne,0,11,100
Tamichael,0,11,100
Ransford,0,11,100
Hallard,0,11,100
Ziyon,0,11,100
Dony,0,11,100
Corran,0,11,100
Philips,0,11,100
Jagjit,0,11,100
Thach,0,11,100
Dominador,0,11,100
Rahmere,0,11,100
Dezhon,0,11,100
Quaysean,0,11,100
Joshuaaaron,0,11,100
Roberrt,0,11,100
Veston,0,11,100
Corderrius,0,11,100
Verron,0,11,100
Wilbor,0,11,100
Phabian,0,11,100
Shafin,0,11,100
Melad,0,11,100
Rus,0,11,100
Aubie,0,11,100
Hilmon,0,11,100
Marquiss,0,11,100
Kyreem,0,11,100
Lui,0,11,100
Kristophor,0,11,100
Rahaman,0,11,100
Kumail,0,11,100
Hovig,0,11,100
Antonne,0,11,100
Kentrelle,0,11,100
Eules,0,11,100
Jsean,0,11,100
Orven,0,11,100
Starbuck,0,11,100
Aakeem,0,11,100
Meet,0,11,100
Mickiel,0,11,100
Kemond,0,11,100
Bronston,0,11,100
Siavash,0,11,100
Sulton,0,11,100
Yuseff,0,11,100
Ronreaco,0,11,100
Damasio,0,11,100
Alkeem,0,11,100
Gibb,0,11,100
Keonne,0,11,100
Whaley,0,11,100
Niket,0,11,100
Beamon,0,11,100
Miccah,0,11,100
Esam,0,11,100
Frink,0,11,100
Arshawn,0,11,100
Templeton,0,11,100
Saro,0,11,100
Alfonzie,0,11,100
Labryant,0,11,100
Nauman,0,11,100
Roquan,0,11,100
Roen,0,11,100
Dantoni,0,11,100
Jahmaal,0,11,100
Karega,0,11,100
Jorgan,0,11,100
Leeron,0,11,100
Desmand,0,11,100
Tephen,0,11,100
Aldis,0,11,100
Corvell,0,11,100
Kelvonte,0,11,100
Atilla,0,11,100
Elight,0,11,100
Rashine,0,11,100
Kondwani,0,11,100
Louay,0,11,100
Levontae,0,11,100
Alper,0,11,100
Christopherryan,0,11,100
Jamarquez,0,11,100
Fazon,0,11,100
Jonadab,0,11,100
Kashun,0,11,100
Dezmund,0,11,100
Jahshawn,0,11,100
Warne,0,11,100
Shyon,0,11,100
Kathan,0,11,100
Kammeron,0,11,100
Volley,0,11,100
Kendrae,0,11,100
Sota,0,11,100
Leibish,0,11,100
Abrahem,0,11,100
Gailand,0,11,100
Daiyaan,0,11,100
Delvan,0,11,100
Chaske,0,11,100
Cergio,0,11,100
Sarith,0,11,100
Shinji,0,11,100
Enock,0,11,100
Jadakiss,0,11,100
Nathniel,0,11,100
Gladwin,0,11,100
Larwance,0,11,100
Damitri,0,11,100
Tallan,0,11,100
Shacorey,0,11,100
Pookela,0,11,100
Torenzo,0,11,100
Athol,0,11,100
Kadell,0,11,100
Antimo,0,11,100
Chic,0,11,100
Williamm,0,11,100
Markieth,0,11,100
Johhny,0,11,100
Labon,0,11,100
Bradnon,0,11,100
Rusbel,0,11,100
Sevaughn,0,11,100
Autin,0,11,100
Shadric,0,11,100
Delanor,0,11,100
Samuela,0,11,100
Warfield,0,11,100
Darhyl,0,11,100
Maywood,0,11,100
Moosa,0,11,100
Vantrell,0,11,100
Antwayne,0,11,100
Kaylum,0,11,100
Farrakhan,0,11,100
Kaliff,0,11,100
Fatih,0,11,100
Dantavis,0,11,100
Kyrian,0,11,100
Ddnald,0,11,100
Deallen,0,11,100
Khamron,0,11,100
Khalib,0,11,100
Redford,0,11,100
Cadell,0,11,100
Perrion,0,11,100
Trovon,0,11,100
Tsugio,0,11,100
Ontonio,0,11,100
Jvaughn,0,11,100
Jimenez,0,11,100
Posie,0,11,100
Kellam,0,11,100
Takuto,0,11,100
Rustan,0,11,100
Medger,0,11,100
Crishawn,0,11,100
Foley,0,11,100
Glendall,0,11,100
Rashem,0,11,100
Sherief,0,11,100
Jaimz,0,11,100
Mattson,0,11,100
Sinh,0,11,100
Goree,0,11,100
Ismel,0,11,100
Termain,0,11,100
Thomasmichael,0,11,100
Delmario,0,11,100
Jaquar,0,11,100
Raider,0,11,100
Malyke,0,11,100
Morrow,0,11,100
Kenten,0,11,100
Winsor,0,11,100
Javahn,0,11,100
Jaquaun,0,11,100
Armanni,0,11,100
Jhair,0,11,100
Ruford,0,11,100
Kirklen,0,11,100
Senneca,0,11,100
Tue,0,11,100
Jaxx,0,11,100
Rajuan,0,11,100
Matheo,0,11,100
Floren,0,11,100
Jayanth,0,11,100
Cianan,0,11,100
Habram,0,11,100
Odeh,0,11,100
Dor,0,11,100
Reinold,0,11,100
Ankith,0,11,100
Kendrall,0,11,100
Pablito,0,11,100
Devondrick,0,11,100
Fawad,0,11,100
Shaborn,0,11,100
Ketric,0,11,100
Middleton,0,11,100
Goodman,0,11,100
Makil,0,11,100
Soane,0,11,100
Caedmon,0,11,100
Jarez,0,11,100
Xou,0,11,100
Dayvid,0,11,100
Byren,0,11,100
Canio,0,11,100
Paulos,0,11,100
Martaz,0,11,100
Shayd,0,11,100
Quandarious,0,11,100
Nikil,0,11,100
Auguster,0,11,100
Shawen,0,11,100
Bowden,0,11,100
Ronzel,0,11,100
Roee,0,11,100
Damiso,0,11,100
Dupre,0,11,100
Jerom,0,11,100
Jahkim,0,11,100
Jordanmichael,0,11,100
Argle,0,11,100
Reinhart,0,11,100
Ajith,0,11,100
Anees,0,11,100
Avron,0,11,100
Krey,0,11,100
Mauriceo,0,11,100
Lyden,0,11,100
Wanye,0,11,100
Latevin,0,11,100
Jefford,0,11,100
Tarion,0,11,100
Vondre,0,11,100
Cebastian,0,11,100
Hoyal,0,11,100
Forman,0,11,100
Oladapo,0,11,100
Petie,0,11,100
Ryin,0,11,100
Elijahjames,0,11,100
Nando,0,11,100
Olton,0,11,100
Beacher,0,11,100
Akoni,0,11,100
Cye,0,11,100
Eskel,0,11,100
Luisandres,0,11,100
Tapan,0,11,100
Lamontre,0,11,100
Govanny,0,11,100
Kysean,0,11,100
Ericmichael,0,11,100
Emerito,0,11,100
Chanh,0,11,100
Berten,0,11,100
Ashneel,0,11,100
Merville,0,11,100
Teko,0,11,100
Danian,0,11,100
Jvante,0,11,100
Delvontae,0,11,100
Luccas,0,11,100
Tyrod,0,11,100
Inmar,0,11,100
Moshood,0,11,100
Toxie,0,11,100
Willington,0,11,100
Onel,0,11,100
Laxavier,0,11,100
Kaymon,0,11,100
Shohn,0,11,100
Bracey,0,11,100
Sparky,0,11,100
Brynton,0,11,100
Devaron,0,11,100
Nicolino,0,11,100
Jacobson,0,11,100
Zein,0,11,100
Zeid,0,11,100
Gayron,0,11,100
Shehab,0,11,100
Drian,0,11,100
Jaryl,0,11,100
Drexell,0,11,100
Geremias,0,11,100
Jovonie,0,11,100
Bowdy,0,11,100
Nation,0,11,100
Lad,0,11,100
Latony,0,11,100
Kaysean,0,11,100
Lonis,0,11,100
Oday,0,11,100
Chadwic,0,11,100
Sylvesta,0,11,100
Tsuyoshi,0,11,100
Hussan,0,11,100
Kindu,0,11,100
Pruitt,0,11,100
Quarterrio,0,11,100
Branoon,0,11,100
Jamori,0,11,100
Burnes,0,11,100
Nohe,0,11,100
Daizhon,0,11,100
Claiborn,0,11,100
Cyron,0,11,100
Sebastia,0,11,100
Kenderius,0,11,100
Manas,0,11,100
Lamarion,0,11,100
Kyris,0,11,100
Kyril,0,11,100
Deerick,0,11,100
Sharath,0,11,100
Elchanan,0,11,100
Zandre,0,11,100
Deronn,0,11,100
Perseus,0,11,100
Trahern,0,11,100
Guage,0,11,100
Ladante,0,11,100
Nealon,0,11,100
Jimar,0,11,100
Jasiri,0,11,100
Drayon,0,11,100
Torrel,0,11,100
Isain,0,11,100
Shachar,0,11,100
Lamech,0,11,100
Gad,0,11,100
Arzie,0,11,100
Dondray,0,11,100
Arieh,0,11,100
Naadir,0,11,100
Ziv,0,11,100
Jarvus,0,11,100
Badr,0,11,100
Jemil,0,11,100
Ivica,0,11,100
Brutus,0,11,100
Camerino,0,11,100
Nickles,0,11,100
Jelon,0,11,100
Jerade,0,11,100
Narith,0,11,100
Sarang,0,11,100
Deboris,0,11,100
Brey,0,11,100
Jabarr,0,11,100
Wendyl,0,11,100
Ephrain,0,11,100
Jaishon,0,11,100
Naftula,0,11,100
Earic,0,11,100
Ermilo,0,11,100
Verble,5,11,2.2
Garlyn,5,11,2.2
Norvelle,5,11,2.2
Javonnie,5,11,2.2
Vashion,5,11,2.2
Darein,5,11,2.2
Tavonne,5,11,2.2
Sukhman,5,11,2.2
Dobbie,5,11,2.2
Santonia,5,11,2.2
Jaskirat,6,11,1.83
Reny,6,11,1.83
Montra,6,11,1.83
Tolly,6,11,1.83
Nocona,6,11,1.83
Keymani,7,11,1.57
Tahsin,8,11,1.38
Braxtyn,9,11,1.22
Daney,9,11,1.22
Hannon,10,11,1.1
Sea,10,11,1.1
Omotayo,10,11,1.1
Sukhjit,10,11,1.1
Fonta,12,11,0.92
Madden,13,11,0.85
Jacquay,13,11,0.85
Aeon,13,11,0.85
Daryen,14,11,0.79
Parminder,15,11,0.73
Jacquell,15,11,0.73
Asian,16,11,0.69
Jaidin,16,11,0.69
Leshan,16,11,0.69
Ramelle,16,11,0.69
Erike,17,11,0.65
Hager,17,11,0.65
Ezzie,23,11,0.48
Lougene,25,11,0.44
Aryon,25,11,0.44
Kenly,27,11,0.41
Wonnie,31,11,0.35
Rhiley,32,11,0.34
Kippie,33,11,0.33
Lurie,34,11,0.32
Arshia,38,11,0.29
Tyjah,40,11,0.28
Brione,43,11,0.26
Sakari,43,11,0.26
Darriell,44,11,0.25
Eddis,45,11,0.24
Nesta,48,11,0.23
Haidyn,50,11,0.22
Coti,49,11,0.22
Jonnell,58,11,0.19
Wilsie,57,11,0.19
Dontavia,58,11,0.19
Lavonn,60,11,0.18
Chene,64,11,0.17
Maiko,66,11,0.17
Shyloh,69,11,0.16
Majestic,77,11,0.14
Joda,83,11,0.13
Zonnie,88,11,0.13
Janus,127,11,0.09
Martrice,123,11,0.09
Gabby,137,11,0.08
Shavaughn,168,11,0.07
Trine,163,11,0.07
Skyy,177,11,0.06
Romi,191,11,0.06
Shy,185,11,0.06
Linzey,172,11,0.06
Ai,199,11,0.06
Stevee,208,11,0.05
Jazman,240,11,0.05
Dalynn,263,11,0.04
Artemis,280,11,0.04
Darcus,249,11,0.04
Kendy,286,11,0.04
Chanin,301,11,0.04
Claris,404,11,0.03
Jasmen,396,11,0.03
Sheng,338,11,0.03
Lace,364,11,0.03
Santanna,585,11,0.02
Brette,464,11,0.02
Mackenzi,705,11,0.02
Chesney,583,11,0.02
Aggie,618,11,0.02
Deva,652,11,0.02
Pang,615,11,0.02
Gerrie,1275,11,0.01
Kaili,914,11,0.01
Ceola,1039,11,0.01
Keondra,834,11,0.01
Najah,1016,11,0.01
Dustie,781,11,0.01
Sunni,1410,11,0.01
Mikki,1935,11,0.01
Chantel,13082,11,0
Jeanine,22756,11,0
Lucinda,28386,11,0
Lily,19995,11,0
Claudette,18221,11,0
Jaqueline,6489,11,0
