Name,Female,Male,M/F
Taylor,183389,83391,0.45
Clayton,364,82334,226.19
Kurt,196,81445,415.54
Ruben,621,81297,130.91
Logan,9876,81111,8.21
Jorge,618,81073,131.19
Noah,461,80389,174.38
Tim,188,80278,427.01
Brad,233,79907,342.95
Leslie,224132,79750,0.36
Leo,573,79476,138.7
Charlie,6217,79465,12.78
Rick,135,79353,587.8
Garrett,352,79333,225.38
Clyde,891,78989,88.65
Roberto,745,78753,105.71
Jamie,244526,78144,0.32
Angel,59213,78038,1.32
Edgar,457,77394,169.35
Kelly,442955,76533,0.17
Greg,143,76462,534.7
Jeremiah,428,76086,177.77
Lonnie,4722,76002,16.1
Clinton,346,75800,219.08
Allan,215,74894,348.34
Lucas,230,74772,325.1
Bob,226,74455,329.45
Jackie,84702,73246,0.86
Spencer,1747,72650,41.59
Tyrone,709,71702,101.13
Lester,632,71106,112.51
Harvey,386,70645,183.02
Hunter,5855,69807,11.92
Jessie,66761,69452,1.04
Herman,446,69186,155.13
Dwayne,458,68707,150.02
Hector,464,68026,146.61
Dwight,301,67184,223.2
Julian,1700,67062,39.45
Johnnie,29961,66927,2.23
Grant,152,66436,437.08
Alejandro,669,66116,98.83
Arnold,301,65572,217.85
Milton,348,65437,188.04
Kirk,197,64569,327.76
Ross,274,64116,234
Kent,166,64048,385.83
Max,278,63909,229.89
Terrence,527,63372,120.25
Guy,268,63293,236.17
Roland,236,62919,266.61
Colin,349,62455,178.95
Ted,137,61860,451.53
Raul,452,61246,135.5
Ivan,420,61152,145.6
Connor,1039,61129,58.83
Freddie,6752,60818,9.01
Johnathan,304,60533,199.12
Byron,277,60142,217.12
Stuart,281,59935,213.29
Dominic,859,59862,69.69
Cecil,1933,59546,30.8
Shaun,2929,59502,20.31
Terrance,750,59476,79.3
Perry,1632,58935,36.11
Rickey,669,58925,88.08
Marshall,963,58897,61.16
Chase,1404,58417,41.61
Sam,676,58398,86.39
Daryl,4155,58268,14.02
Pedro,463,58189,125.68
Tracy,246924,58093,0.24
Chester,354,57711,163.03
Javier,423,57477,135.88
Donnie,4489,56747,12.64
Fernando,460,56407,122.62
Eduardo,335,56306,168.08
Ramon,495,55558,112.24
Brendan,263,55203,209.9
Andy,657,54820,83.44
Mathew,202,54745,271.01
Jake,136,54492,400.68
Elijah,400,53967,134.92
Nelson,326,53062,162.77
Dave,82,52390,638.9
Jonathon,211,52390,248.29
Wade,122,52186,427.75
Geoffrey,140,50889,363.49
Preston,318,50695,159.42
Omar,375,50335,134.23
Jaime,46817,49845,1.06
Dana,178936,49833,0.28
Armando,350,49819,142.34
Kristopher,287,49809,173.55
Rafael,496,49679,100.16
Clifton,281,49633,176.63
Fredrick,254,49522,194.97
Dakota,9911,49295,4.97
Claude,422,49293,116.81
Isaiah,231,49004,212.14
Shannon,280011,48806,0.17
Drew,3154,48295,15.31
Kerry,47343,47864,1.01
Damon,310,47755,154.05
Gerard,95,46668,491.24
Sidney,11184,46474,4.16
Bryce,1316,46334,35.21
Sergio,323,46259,143.22
Hugh,134,46210,344.85
Ben,202,46139,228.41
Garry,179,46053,257.28
Wallace,284,45900,161.62
Cole,204,45627,223.66
Neal,120,44915,374.29
Elmer,609,44741,73.47
Lynn,178224,44312,0.25
Mason,858,44233,51.55
Tanner,968,43970,45.42
Levi,279,43878,157.27
Joey,4311,43831,10.17
Everett,155,43406,280.04
Devon,16759,43037,2.57
Dalton,209,42764,204.61
Kenny,434,42706,98.4
Randolph,112,42594,380.3
Rex,107,42472,396.93
Alberto,373,42104,112.88
Robin,284768,41377,0.15
Wendell,490,41345,84.38
Angelo,707,40831,57.75
Andres,378,40697,107.66
Marco,311,40527,130.31
Malcolm,84,40102,477.4
Kelvin,299,39939,133.58
Roderick,263,39807,151.36
Julio,369,39220,106.29
Nicolas,132,39034,295.71
Virgil,566,38758,68.48
Marion,71779,38612,0.54
Willard,265,38584,145.6
Rudy,721,38548,53.46
Rene,20309,38357,1.89
Lyle,440,38235,86.9
Benny,430,38107,88.62
Dillon,212,38009,179.29
Alfredo,280,37930,135.46
Carlton,245,37650,153.67
Morris,313,37632,120.23
Xavier,606,37523,61.92
Lorenzo,292,37360,127.95
Abraham,135,37180,275.41
Felix,375,37122,98.99
Arturo,203,37077,182.65
Sammy,1090,36978,33.92
Erick,329,36700,111.55
Cesar,243,36683,150.96
Gregg,113,35814,316.94
Dallas,6114,35646,5.83
Enrique,244,35629,146.02
Oliver,248,35532,143.27
Earnest,524,35254,67.28
Bryant,225,35196,156.43
Colton,74,34950,472.3
Ron,70,34855,497.93
Loren,9028,34596,3.83
Julius,271,34593,127.65
Kim,178056,34558,0.19
Otis,432,34500,79.86
Bennie,5639,34274,6.08
Jackson,119,34242,287.75
Salvatore,43,34186,795.02
Frankie,20414,33917,1.66
Collin,301,33796,112.28
Luther,197,33324,169.16
Micah,5893,33166,5.63
Nick,67,33081,493.75
Cedric,278,32951,118.53
Tristan,3715,32907,8.86
Brady,946,32484,34.34
Jermaine,928,32428,34.94
Darius,236,32341,137.04
Orlando,242,32290,133.43
Alec,272,32189,118.34
Trent,97,31784,327.67
Owen,103,31772,308.47
Salvador,178,31416,176.49
Myron,348,31336,90.05
Gerardo,224,31122,138.94
Ira,2621,30815,11.76
Terence,170,30809,181.23
Alton,195,30691,157.39
Marty,3845,30508,7.93
Maxwell,70,30427,434.67
Noel,10259,30332,2.96
Ken,25,30227,1209.08
Forrest,526,30109,57.24
Delbert,51,29923,586.73
Rudolph,91,29874,328.29
Clark,79,29824,377.52
Darin,299,29790,99.63
Jody,55006,29718,0.54
Ernesto,116,29423,253.65
Pete,107,28892,270.02
Riley,11039,28864,2.61
Emmanuel,213,28807,135.24
Hubert,68,28731,422.51
Bradford,39,28657,734.79
Damian,262,28622,109.24
Lowell,147,28464,193.63
Clint,54,28332,524.67
Israel,425,28128,66.18
Edmund,10,28042,2804.2
Sheldon,470,27907,59.38
Randal,132,27882,211.23
Dominick,189,27736,146.75
Gavin,66,27700,419.7
Bret,197,27641,140.31
Leland,142,27590,194.3
Horace,115,27538,239.46
Marcos,145,27531,189.87
Roosevelt,181,27493,151.9
Alfonso,103,27403,266.05
Miles,59,27389,464.22
Willis,386,27354,70.87
Morgan,117547,27331,0.23
Sherman,176,27251,154.84
Darrin,133,27175,204.32
Laurence,177,26994,152.51
Terrell,1547,26966,17.43
Clay,174,26696,153.43
Archie,605,26575,43.93
Harrison,87,26523,304.86
Teddy,1094,26388,24.12
Darrel,116,26189,225.77
Sylvester,247,26027,105.37
Homer,119,25881,217.49
Nolan,66,25755,390.23
Wyatt,54,25216,466.96
Kendall,19210,25105,1.31
Demetrius,1706,25026,14.67
Toby,5766,24995,4.33
Simon,110,24974,227.04
Alexis,168593,24825,0.15
Donovan,135,24809,183.77
Alonzo,144,24804,172.25
Colby,2530,24723,9.77
Trenton,40,24649,616.23
Pablo,64,24603,384.42
Timmy,168,24475,145.68
Damien,215,24466,113.8
Tommie,11062,24314,2.2
Rodolfo,83,24310,292.89
Mickey,5132,24306,4.74
Stewart,79,24239,306.82
Wilbert,111,24201,218.03
Wilbur,105,24191,230.39
Lamar,553,24061,43.51
Nickolas,42,23710,564.52
Quentin,152,23561,155.01
Jerald,102,23516,230.55
Wilson,83,23406,282
Darnell,2292,23222,10.13
Carroll,4886,23207,4.75
Eli,258,23104,89.55
Heath,176,22820,129.66
Stephan,229,22803,99.58
Jamal,266,22793,85.69
Cornelius,390,22783,58.42
Dewayne,111,22728,204.76
Dexter,121,22686,187.49
Doyle,140,22632,161.66
Jarrod,65,22585,347.46
Rocky,203,22585,111.26
Emanuel,68,22396,329.35
Cary,4833,22367,4.63
Doug,5,22333,4466.6
Landon,302,22197,73.5
Elias,91,22191,243.86
Cristian,856,22051,25.76
Conrad,5,21921,4384.2
Parker,1065,21900,20.56
Sebastian,82,21792,265.76
Pat,37069,21787,0.59
Marlon,320,21720,67.88
Brock,64,21671,338.61
Abel,66,21658,328.15
Grady,242,21645,89.44
Ervin,77,21517,279.44
Zachery,38,21465,564.87
Dick,17,21417,1259.82
Elliott,286,21333,74.59
Mack,112,21280,190
Ty,453,21146,46.68
Malik,183,20871,114.05
Stacy,156508,20660,0.13
Ellis,814,20637,25.35
Blaine,714,20621,28.88
Gustavo,99,20612,208.2
Lionel,39,20579,527.67
Dane,315,20461,64.96
Antoine,364,20433,56.13
Chance,580,20379,35.14
Tyson,237,20300,85.65
Harley,6583,20276,3.08
Dewey,153,20202,132.04
Gilberto,58,20106,346.66
Freddy,140,20052,143.23
Moses,36,20029,556.36
Matt,5,20026,4005.2
Diego,73,19982,273.73
Roman,101,19914,197.17
Lamont,165,19899,120.6
Junior,72,19772,274.61
Irvin,31,19722,636.19
Dante,376,19700,52.39
Billie,75391,19639,0.26
Rodger,0,19607,100
Monte,669,19553,29.23
Ismael,57,19502,342.14
Guillermo,69,19491,282.48
Rufus,68,19461,286.19
Felipe,123,19420,157.89
Hayden,1893,19318,10.2
Courtney,225677,19228,0.09
Saul,62,19176,309.29
Buddy,33,19065,577.73
Robbie,16147,19058,1.18
Sterling,1088,19050,17.51
Branden,330,18990,57.55
Avery,8462,18924,2.24
Van,1231,18917,15.37
Guadalupe,40897,18867,0.46
Aubrey,20252,18629,0.92
Jan,53952,18592,0.34
Desmond,207,18476,89.26
Royce,1517,18071,11.91
Elbert,54,18036,334
Johnathon,47,18023,383.47
Trey,85,17994,211.69
Carter,949,17944,18.91
Rory,1601,17930,11.2
Quinton,42,17854,425.1
Kaleb,74,17827,240.91
Fabian,293,17774,60.66
Carson,2682,17607,6.56
Ramiro,28,17480,624.29
Scotty,219,17472,79.78
Bert,176,17437,99.07
Chuck,0,17426,100
Graham,51,17360,340.39
Tomas,21,17346,826
Boyd,10,17308,1730.8
Josue,135,17290,128.07
Elliot,154,17217,111.8
Amos,32,17206,537.69
Dominique,42182,17145,0.41
Louie,642,17143,26.7
Vance,43,17112,397.95
Josiah,94,16996,180.81
Deandre,403,16931,42.01
Kendrick,245,16906,69
Jayson,32,16875,527.34
Rolando,78,16842,215.92
Darwin,36,16780,466.11
Rogelio,66,16700,253.03
Phil,37,16636,449.62
Beau,132,16600,125.76
Emilio,52,16594,319.12
Rusty,557,16583,29.77
Percy,262,16562,63.21
Denis,500,16547,33.09
Giovanni,561,16453,29.33
Lane,2379,16421,6.9
Reuben,18,16302,905.67
Merle,6337,16236,2.56
Winston,61,16217,265.85
Will,177,16170,91.36
Zane,265,16168,61.01
Leonardo,61,16161,264.93
Skyler,5912,16149,2.73
Chandler,4757,16143,3.39
Emmett,16,16054,1003.38
Marquis,442,15982,36.16
Jonah,205,15829,77.21
Curt,0,15760,100
Garland,464,15674,33.78
Zackary,7,15646,2235.14
Rickie,1606,15604,9.72
Jarrett,68,15520,228.24
Marlin,1014,15448,15.23
Sammie,4825,15442,3.2
Bart,5,15358,3071.6
Kurtis,25,15347,613.88
Jess,200,15227,76.14
Reynaldo,23,15174,659.74
Eldon,23,15154,658.87
Irving,8,15059,1882.38
Wilfred,5,14951,2990.2
Hugo,30,14938,497.93
Edmond,7,14934,2133.43
Jean,301816,14776,0.05
Esteban,31,14772,476.52
Liam,15,14728,981.87
Woodrow,23,14715,639.78
Zachariah,22,14637,665.32
Reed,306,14606,47.73
Thaddeus,32,14578,455.56
Carey,12109,14538,1.2
Quincy,1325,14478,10.93
Stefan,42,14427,343.5
Bobbie,77163,14357,0.19
Jeffry,10,14337,1433.7
Orville,30,14255,475.17
Myles,27,14248,527.7
Dion,965,14178,14.69
Derick,39,14101,361.56
Harlan,0,14080,100
Ernie,328,13996,42.67
Gage,73,13956,191.18
Cleveland,67,13921,207.78
Monty,264,13861,52.5
Reid,228,13827,60.64
Santiago,35,13810,394.57
Gerry,5683,13637,2.4
Ashley,677921,13615,0.02
Conner,540,13534,25.06
Kody,486,13499,27.78
Solomon,11,13468,1224.36
Ed,19,13459,708.37
Denny,381,13456,35.32
Scot,11,13396,1217.82
Vaughn,566,13386,23.65
Jasper,250,13321,53.28
Galen,531,13315,25.08
Bryon,17,13312,783.06
Davis,295,13231,44.85
Stacey,143285,13225,0.09
Jarvis,117,13196,112.79
Pierre,74,13194,178.3
Elton,43,13121,305.14
August,1374,13061,9.51
Al,173,13014,75.23
Moises,31,12932,417.16
Ronny,428,12824,29.96
Burton,12,12770,1064.17
Kris,13238,12748,0.96
Hal,0,12729,100
Shelby,103156,12497,0.12
Brennan,907,12434,13.71
Joesph,12,12327,1027.25
Weston,9,12322,1369.11
Anton,21,12170,579.52
Braden,123,12042,97.9
Brendon,22,12032,546.91
Efrain,29,12026,414.69
Alphonso,27,12025,445.37
Quinn,3262,11981,3.67
Chadwick,22,11980,544.55
Jefferson,0,11964,100
Kirby,3008,11934,3.97
Kory,1047,11837,11.31
Donny,40,11761,294.02
Donnell,1011,11761,11.63
Emil,27,11748,435.11
Bailey,35733,11724,0.33
Blair,9097,11720,1.29
Sonny,360,11652,32.37
Grover,17,11626,683.88
Loyd,27,11610,430
Duncan,6,11578,1929.67
Ignacio,15,11571,771.4
Noe,93,11533,124.01
Conor,58,11481,197.95
Humberto,10,11414,1141.4
Isiah,6,11382,1897
Stevie,5440,11348,2.09
Elvin,77,11265,146.3
Norris,335,11263,33.62
Ned,5,11196,2239.2
Rocco,5,11193,2238.6
Josh,0,11178,100
Murray,165,11156,67.61
Jalen,586,11146,19.02
Ashton,12312,11094,0.9
Vicente,0,11009,100
Bennett,125,10937,87.5
Zackery,0,10923,100
Keenan,249,10906,43.8
Norbert,0,10864,100
Carmen,102719,10805,0.11
Elvis,77,10795,140.19
Marcel,841,10765,12.8
Jarred,8,10702,1337.75
Brenden,37,10673,288.46
Santos,1523,10619,6.97
Aron,349,10572,30.29
Brenton,18,10528,584.89
Hans,5,10515,2103
Joaquin,41,10473,255.44
Mitchel,12,10447,870.58
Ali,5323,10382,1.95
Raphael,192,10335,53.83
Griffin,256,10323,40.32
Erwin,13,10295,791.92
Adan,27,10231,378.93
Kermit,5,10208,2041.6
Donte,137,10193,74.4
Drake,39,10173,260.85
Ulysses,20,10129,506.45
Jamar,73,10122,138.66
Domingo,15,10098,673.2
Dirk,0,10084,100
Erich,27,10041,371.89
Kristian,5359,9984,1.86
Nathanael,12,9978,831.5
Reggie,357,9961,27.9
Rodrigo,5,9935,1987
Tyrell,145,9933,68.5
Brooks,845,9930,11.75
Dorian,3670,9911,2.7
Thurman,0,9886,100
Deon,1503,9871,6.57
Scottie,1216,9783,8.05
Rashad,85,9781,115.07
Ariel,35576,9773,0.27
Russel,0,9736,100
Jakob,0,9726,100
Eddy,267,9726,36.43
Sanford,0,9708,100
Barney,44,9704,220.55
Robby,200,9700,48.5
Mary,2491416,9700,0
Roscoe,0,9688,100
Frederic,0,9668,100
Tucker,86,9663,112.36
Benito,31,9653,311.39
Otto,0,9583,100
Coy,420,9543,22.72
Aidan,755,9526,12.62
Elwood,13,9464,728
Jonas,23,9432,410.09
Lanny,57,9416,165.19
Damion,39,9293,238.28
Adolfo,10,9250,925
Gale,19313,9224,0.48
Kareem,188,9212,49
Brice,210,9207,43.84
Linwood,5,9206,1841.2
Daren,194,9163,47.23
Corbin,285,9162,32.15
Wiley,56,9139,163.2
Kennith,5,9134,1826.8
Randell,148,9130,61.69
Dusty,4042,9096,2.25
Cornell,224,9095,40.6
Issac,17,9082,534.24
Bryson,61,9018,147.84
Garret,5,9002,1800.4
Ward,5,8957,1791.4
Odell,1248,8955,7.18
Michel,2797,8915,3.19
Shelton,135,8900,65.93
Vince,5,8847,1769.4
Merlin,356,8818,24.77
Jarod,5,8799,1759.8
Denver,256,8780,34.3
Jordon,1316,8778,6.67
Carlo,80,8775,109.69
Mauricio,6,8718,1453
Quintin,7,8712,1244.57
Kameron,1743,8710,5
Agustin,21,8665,412.62
Keegan,994,8649,8.7
Armand,0,8637,100
Alvaro,0,8630,100
Tevin,59,8626,146.2
Weldon,5,8596,1719.2
Gus,0,8592,100
Antwan,113,8585,75.97
Silas,0,8561,100
Nikolas,5,8524,1704.8
Ezra,220,8522,38.74
Charley,1415,8498,6.01
Deshawn,1135,8476,7.47
Rod,0,8466,100
Demarcus,29,8416,290.21
Johnie,1694,8399,4.96
Delmar,45,8334,185.2
Vito,0,8331,100
Sandy,64554,8310,0.13
Rob,0,8239,100
Tyree,639,8236,12.89
Jerrod,10,8225,822.5
Tracey,85485,8223,0.1
Emory,533,8222,15.43
Irwin,0,8159,100
Darian,4725,8119,1.72
Garth,0,8106,100
Theron,0,8085,100
Korey,1031,8083,7.84
Coleman,17,8065,474.41
Cooper,186,8055,43.31
Kasey,24899,8050,0.32
Dannie,1226,8023,6.54
Maynard,5,8015,1603
Cyrus,0,8001,100
Stan,0,7988,100
Leonel,5,7982,1596.4
Harris,29,7980,275.17
Markus,0,7976,100
Peyton,8038,7970,0.99
Erin,269743,7944,0.03
Lincoln,68,7939,116.75
Danial,80,7932,99.15
Shayne,1864,7920,4.25
Hollis,2704,7914,2.93
Millard,12,7874,656.17
Wilfredo,0,7866,100
Barton,0,7837,100
Ahmad,18,7768,431.56
Jerrold,0,7734,100
Ezekiel,0,7720,100
Lukas,0,7693,100
Unknown,8257,7686,0.93
Emery,845,7678,9.09
Gino,12,7659,638.25
Jamel,362,7657,21.15
Lon,15,7633,508.87
Kristofer,0,7626,100
Houston,146,7610,52.12
Jamison,614,7602,12.38
Forest,172,7597,44.17
Errol,0,7591,100
Kenton,0,7575,100
Devan,4004,7572,1.89
Tod,0,7534,100
Mikel,819,7526,9.19
Skylar,9666,7513,0.78
Bradly,11,7508,682.55
Walker,76,7491,98.57
Kyler,461,7486,16.24
Dino,0,7485,100
Cliff,0,7464,100
Dudley,58,7455,128.53
Merrill,1587,7435,4.68
Rodrick,5,7384,1476.8
Nigel,68,7364,108.29
Ollie,12500,7351,0.59
Davon,367,7323,19.95
Jace,140,7303,52.16
Monroe,48,7297,152.02
Tobias,0,7247,100
Barrett,323,7219,22.35
Dawson,52,7204,138.54
Grayson,784,7197,9.18
Cruz,2540,7184,2.83
Brant,10,7168,716.8
Fidel,0,7154,100
Devonte,32,7143,223.22
Javon,658,7141,10.85
Heriberto,16,7139,446.19
Rigoberto,7,7133,1019
Darrick,11,7120,647.27
Truman,0,7116,100
Kip,154,7115,46.2
Mervin,5,7106,1421.2
Anderson,131,7091,54.13
Laverne,24400,6966,0.29
Braxton,178,6964,39.12
Gregorio,5,6960,1392
Deangelo,21,6951,331
Hiram,0,6936,100
Bernie,983,6933,7.05
Jed,0,6925,100
Rhett,6,6917,1152.83
Fredric,0,6898,100
Emerson,365,6889,18.87
Nicky,1584,6864,4.33
Jacques,237,6845,28.88
Brody,6,6839,1139.83
Clement,6,6811,1135.17
Augustine,1825,6796,3.72
Cordell,43,6782,157.72
Basil,0,6768,100
Jerold,0,6751,100
Carmine,315,6712,21.31
Adolph,7,6708,958.29
Judson,0,6665,100
Alden,329,6605,20.08
Dwain,0,6592,100
Rico,45,6579,146.2
Bernardo,0,6569,100
Vern,200,6558,32.79
Thad,5,6541,1308.2
Jamaal,45,6539,145.31
Trevon,25,6495,259.8
Osvaldo,12,6477,539.75
Nathanial,0,6474,100
Wilmer,286,6441,22.52
Arron,173,6401,37
Hank,0,6388,100
Carol,782257,6368,0.01
Lyndon,51,6346,124.43
Lenard,0,6310,100
Everette,20,6283,314.15
Denzel,11,6279,570.82
Chaz,149,6277,42.13
Raymundo,0,6266,100
Amir,100,6251,62.51
Jaron,26,6246,240.23
Tad,0,6240,100
Gonzalo,0,6209,100
Jamey,2583,6198,2.4
Antony,0,6192,100
Nestor,0,6178,100
Winfred,173,6173,35.68
Khalil,38,6162,162.16
Addison,3683,6156,1.67
Marquise,371,6150,16.58
Cortez,33,6147,186.27
Lonny,60,6131,102.18
Payton,7402,6128,0.83
Paris,8451,6120,0.72
Cullen,57,6079,106.65
Aldo,10,6045,604.5
Mackenzie,40204,6030,0.15
Ivory,4680,6025,1.29
Lindsey,129940,6021,0.05
Devante,57,6015,105.53
Royal,245,6006,24.51
Keaton,370,6001,16.22
Keven,130,6000,46.15
Fletcher,33,5997,181.73
Eloy,0,5996,100
Cade,19,5965,313.95
Gail,197544,5963,0.03
Augustus,0,5950,100
Federico,5,5935,1187
Freeman,0,5911,100
Jameson,105,5899,56.18
Chauncey,448,5889,13.15
Asa,495,5880,11.88
Octavio,5,5858,1171.6
Hershel,0,5832,100
Booker,0,5825,100
Bruno,0,5814,100
Buford,17,5801,341.24
Tory,2914,5787,1.99
Clair,2421,5786,2.39
Lavern,4795,5768,1.2
Prince,334,5761,17.25
Mohammad,10,5759,575.9
Tylor,321,5682,17.7
Russ,0,5678,100
Kraig,0,5676,100
Aric,5,5673,1134.6
Stephon,14,5665,404.64
Brayden,156,5660,36.28
Titus,6,5659,943.17
Donn,62,5656,91.23
Daron,160,5634,35.21
Edwardo,0,5618,100
Major,11,5607,509.73
Domenic,0,5596,100
Justice,4835,5595,1.16
Waylon,0,5579,100
Josef,0,5567,100
Rolland,5,5536,1107.2
Tristen,2106,5505,2.61
Shirley,567270,5482,0.01
Lenny,268,5480,20.45
Jerrell,91,5475,60.16
Arlen,289,5470,18.93
Stanford,0,5450,100
Wilford,0,5447,100
Jovan,1068,5446,5.1
Wilburn,10,5424,542.4
Moshe,21,5417,257.95
Herschel,0,5415,100
Lemuel,0,5413,100
Pasquale,0,5396,100
Reese,377,5383,14.28
Tyron,16,5379,336.19
