@relation 'features-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R22,25-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-8,12-13,16,18'

@attribute Polarity numeric
@attribute Subjectivity numeric
@attribute OT numeric
@attribute DC numeric
@attribute PoGP numeric
@attribute AllScriptureCount numeric
@attribute AuthorityMentions numeric
@attribute WeToYouRatio numeric
@attribute FirstPersonPronoun numeric
@attribute PercentInQuotes numeric
@attribute DaysElapsed numeric
@attribute NameSearchResults numeric
@attribute MonthGiven numeric
@attribute YearGiven numeric
@attribute PopularByAbsolute {y,n}

@data
0.352941,0.481481,0,0.681818,0,0.141844,0.106557,0.007146,0.139676,0.049018,0.028815,0.000956,0.090909,0.976,y
0.441176,0.444444,0.019231,0,0,0.014184,0.016393,0.084983,0.093117,0,0.335867,0.000956,0.545455,0.664,n
0.323529,0.37037,0,0.022727,0,0.028369,0,0.031117,0.202429,0.002968,0.259638,0.000034,0,0.744,n
0.352941,0.444444,0.019231,0,0,0.141844,0.057377,0.041745,0.236842,0.010534,0.243673,0.000034,0.090909,0.76,n
0.470588,0.481481,0.038462,0.113636,0.1875,0.113475,0.040984,0.04504,0.226721,0,0.173956,0.020934,0.909091,0.824,n
0.441176,0.481481,0,0.181818,0.0625,0.099291,0.040984,0.058623,0.253036,0.008481,0.225073,0.020934,0.454545,0.776,n
0.382353,0.555556,0.038462,0.068182,0,0.148936,0.07377,0.258543,0.1417,0.021244,0.106525,0.020934,0.272727,0.896,n
0.470588,0.444444,0,0.045455,0,0.056738,0.057377,0.043592,0.172065,0.006878,0.289367,0.000392,0.363636,0.712,n
0.352941,0.518519,0,0.090909,0,0.042553,0.02459,0.049768,0.178138,0.004858,0.213595,0.000044,0.909091,0.784,n
0.441176,0.37037,0.076923,0.386364,0.125,0.205674,0.032787,0.417119,0.066802,0,0.097116,0.000044,0.545455,0.904,n
0.588235,0.444444,0,0,0,0.007092,0.008197,0.010914,0.323887,0,0.068149,0.001186,0.090909,0.936,y
0.5,0.481481,0,0.090909,0.0625,0.092199,0.057377,0.019155,0.103239,0,0.197739,0.000368,0.909091,0.8,n
0.411765,0.481481,0.019231,0,0.125,0.078014,0.081967,0.052202,0.117409,0,0.060069,0.002708,0.181818,0.944,n
0.470588,0.555556,0,0,0,0.007092,0.016393,0.010108,0.097166,0,0.330836,0.00008,0.090909,0.672,n
0.617647,0.555556,0,0.136364,0,0.014184,0.237705,0.004756,0.234818,0,0.267261,0.00008,0.090909,0.736,n
0.647059,0.592593,0.019231,0.136364,0,0.021277,0.090164,0.004496,0.184211,0.361286,0.291393,0.00008,0.090909,0.712,n
0.705882,0.666667,0.019231,0,0,0.042553,0.040984,0.048287,0.095142,0,0.315089,0.00008,0.090909,0.688,n
0.411765,0.481481,0.038462,0.113636,0,0.028369,0.065574,0.006797,0.072874,0,0.283116,0.00008,0.090909,0.72,n
0.411765,0.555556,0,0.022727,0,0.007092,0.04918,0.031668,0.153846,0,0.068607,0.00008,0.090909,0.936,n
0.676471,0.777778,0.019231,0,0.125,0.163121,0.131148,0.086835,0.186235,0,0.201703,0.00008,0.363636,0.8,n
0.382353,0.407407,0,0.045455,0,0.021277,0.032787,0.05043,0.052632,0,0.231433,0.004329,0.636364,0.768,n
0.411765,0.555556,0,0.045455,0.0625,0.049645,0.155738,0.025787,0.09919,0,0.218931,0.01011,0.181818,0.784,n
0.617647,0.666667,0,0.090909,0,0.049645,0.040984,0.034756,0.244939,0,0.240275,0.01011,0.545455,0.76,n
0.294118,0.703704,0,0.136364,0.0625,0.056738,0.032787,0.015193,0.192308,0,0.253387,0.060989,0.909091,0.744,n
0.5,0.62963,0,0.022727,0,0.056738,0.098361,0.01966,0.129555,0,0.228275,0.060989,0,0.776,n
0.352941,0.37037,0,0.136364,0,0,0.057377,0.004968,0.058704,0,0.003158,0.000111,0.272727,1,n
0.470588,0.518519,0.019231,0.022727,0.375,0.141844,0,0.05793,0.089069,0,0.01738,0.000111,0.545455,0.984,n
0.411765,0.592593,0,0.068182,0,0.042553,0,0.010127,0.309717,0,0.110838,0.000111,0.818182,0.888,n
0.470588,0.333333,0.019231,0.136364,0.1875,0.460993,0.057377,0.022842,0.139676,0,0.084506,0.000019,0.090909,0.92,n
0.529412,0.703704,0,0.068182,0,0.056738,0.07377,0.055165,0.172065,0,0.126541,0.003,0.818182,0.872,n
0.588235,0.444444,0,0.068182,0,0.007092,0.303279,0.010217,0.139676,0.002066,0.352485,0.003,0.363636,0.648,n
0.617647,0.592593,0.057692,0,0,0.035461,0.163934,0.014072,0.082996,0.005918,0.338916,0.000048,0.090909,0.664,n
0.470588,0.444444,0,0.022727,0.0625,0.070922,0.172131,0.010089,0.309717,0,0.166943,0.000048,0.727273,0.832,n
0.441176,0.407407,0.019231,0.068182,0.0625,0.148936,0.155738,0.083338,0.206478,0,0.12628,0.000048,0.909091,0.872,n
0.5,0.481481,0.019231,0.136364,0,0.113475,0.155738,0.029729,0.190283,0,0.146056,0.000048,0.363636,0.856,n
0.382353,0.518519,0.019231,0.159091,0,0.049645,0.270492,0.007062,0.07085,0,0.29882,0.000048,0.090909,0.704,n
0.529412,0.555556,0.134615,0,0,0.269504,0.02459,0.004949,0.137652,0,0.304657,0.000022,0.454545,0.696,n
0.588235,0.814815,0.057692,0.022727,0.0625,0.283688,0.032787,0.002576,0.07085,0,0.345973,0.000056,0.181818,0.656,n
0.411765,0.592593,0.019231,0.022727,0,0.021277,0,0.003587,0.080972,0,0.016727,0.000063,0.636364,0.984,n
0.588235,0.555556,0.038462,0.022727,0,0.070922,0.02459,0.014639,0.089069,0,0.075162,0.000063,0.272727,0.928,n
0.411765,0.259259,0,0.136364,0,0.078014,0.04918,0.020751,0.263158,0,0.01052,0.000063,0.363636,0.992,n
0.470588,0.444444,0,0,0,0.042553,0.114754,0.027581,0.072874,0,0.014179,0.000122,1,0.984,n
0.411765,0.518519,0,0.022727,0,0.007092,0.016393,0.00394,0.078947,0,0.09631,0.000122,0.636364,0.904,n
0.5,0.481481,0,0.022727,0,0.035461,0.155738,0.025282,0.188259,0.005751,0.08431,0.000122,0.090909,0.92,y
0.470588,0.703704,0.096154,0.068182,1,0.283688,0.147541,0.001547,0.15587,0,0.10768,0.000122,0.181818,0.896,n
0.411765,0.444444,0.019231,0.181818,0.125,0.070922,0.131148,0.007912,0.178138,0.016512,0.006251,0.000122,1,0.992,n
0.5,0.62963,0,0.136364,0,0.021277,0.032787,0.022353,0.220648,0,0.331184,0.000122,0.090909,0.672,y
0.294118,0.333333,0,0,0,0.014184,0.081967,0.016392,0.206478,0,0.353857,0.000122,0.181818,0.648,n
0.323529,0.592593,0.019231,0.022727,0.5,0.248227,0.016393,0.071259,0.080972,0,0.064338,0.000122,0.636364,0.936,n
0.382353,0.407407,0.019231,0.022727,0,0.028369,0.114754,0.045408,0.323887,0,0.323605,0.000122,0,0.68,n
0.382353,0.444444,0.019231,0.136364,0.3125,0.283688,0.057377,0.009076,0.313765,0,0.11637,0.000122,0.090909,0.888,y
0.441176,0.407407,0,0,0,0.241135,0.057377,0.006703,0.078947,0,0.08492,0.000122,0,0.92,y
0.352941,0.333333,0,0.045455,0,0.049645,0.07377,0.002634,0.08502,0,0.29932,0.000122,0.090909,0.704,y
0.323529,0.222222,0.096154,0.022727,0,0.035461,0.008197,0.01858,0.101215,0,0.253692,0.000122,0.818182,0.744,n
0.323529,0.222222,0,0.022727,0,0.085106,0.090164,0.011278,0.111336,0,0.211613,0.000122,0.090909,0.792,n
0.205882,0.518519,0.038462,0,0,0.070922,0.032787,0.011705,0.202429,0,0.338502,0.000122,0.181818,0.664,y
0.235294,0.222222,0.019231,0,0,0.070922,0.409836,0.004755,0.137652,0,0.17548,0.000122,0.636364,0.824,n
0.294118,0.518519,0.038462,0.022727,0,0.184397,0.081967,0.00452,0.139676,0,0.046696,0.000122,0.909091,0.952,n
0.441176,0.37037,0,0,0.0625,0.049645,0.090164,0.072413,0.109312,0,0.09117,0.000122,0.272727,0.912,n
0.5,0.259259,0,0.068182,0,0.028369,0.147541,0.010442,0.121457,0.011681,0.100318,0.000122,0.090909,0.904,n
0.352941,0.481481,0,0.113636,0,0.134752,0.04918,0.042468,0.157895,0.092477,0.049244,0.000122,0.545455,0.952,y
0.294118,0.407407,0.076923,0,0,0.056738,0.02459,0.002883,0.044534,0.179126,0.003158,0.000122,0.272727,1,n
0.352941,0.148148,0.019231,0.272727,0,0.085106,0.081967,0.070378,0.135628,0,0.142702,0.000122,0.818182,0.856,n
0.5,0.666667,0.019231,0.022727,0,0.007092,0,0.02529,0.267206,0,0.002744,0.000122,0.363636,1,y
0.617647,0.555556,0,0.022727,0.0625,0.049645,0.081967,0.040521,0.269231,0,0.02607,0.000122,0.454545,0.976,n
0.176471,0.444444,0.019231,0.022727,0,0.106383,0.147541,0.096539,0.103239,0,0.160387,0.000122,0.545455,0.84,y
0.558824,0.444444,0.019231,0,0,0.134752,0.606557,0.104721,0.311741,0.026629,0.056388,0.000122,0.636364,0.944,y
0.5,0.666667,0.019231,0.068182,0,0.007092,0,0.02529,0.267206,0,0.002744,0.000122,0.363636,1,n
0.323529,0.185185,0,0.090909,0,0,0,0.000037,0.032389,0,0.112166,0.000122,0.636364,0.888,n
0.382353,0.296296,0,0.045455,0,0.007092,0.172131,0.096539,0.082996,0.011964,0.040402,0.000122,0.636364,0.96,n
0.382353,0.444444,0,0.022727,0,0.014184,0.344262,0.056302,0.064777,0,0.024393,0.000122,0.636364,0.976,n
0.323529,0.407407,0,0.022727,0,0.028369,0.147541,0.044942,0.103239,0.012649,0.008559,0.000122,0.636364,0.992,n
0.5,0.592593,0.038462,0.022727,0.0625,0.078014,0.098361,0.131089,0.151822,0,0.032321,0.000122,0.636364,0.968,n
0.294118,0.296296,0.038462,0.045455,0.0625,0.078014,0.090164,0.060683,0.121457,0.006161,0.016487,0.000122,0.636364,0.984,n
0.352941,0.407407,0.019231,0.045455,0,0.099291,0.016393,0.014072,0.09919,0,0.145903,0.000122,0.363636,0.856,n
0.323529,0.37037,0.038462,0.204545,0.25,0.219858,0.106557,0.064857,0.44332,0.010919,0.007318,0.000122,0.818182,0.992,y
0.411765,0.592593,0.019231,0.045455,0.125,0.255319,0.02459,0.078206,0.190283,0,0.066472,0.000122,0.363636,0.936,y
0.382353,0.407407,0,0,0,0.049645,0.040984,0.001061,0.123482,0.015001,0.078974,0.000122,0.818182,0.92,n
0.294118,0.37037,0,0.090909,0,0.056738,0.032787,0.016382,0.202429,0.011959,0.033998,0.000122,0.454545,0.968,n
0.705882,0.740741,0,0.022727,0,0.035461,0,0.139037,0.022267,0,0.058958,0.000122,0.272727,0.944,n
0.382353,0.481481,0,0.136364,0,0.007092,0,0.014704,0.030364,0,0.104238,0.000122,0.636364,0.896,n
0.382353,0.592593,0.115385,0,0,0.049645,0.016393,0.001614,0.228745,0,0.122272,0.005011,0.363636,0.88,y
0.411765,0.407407,0,0.045455,0,0.021277,0.016393,0.035187,0.147773,0,0.215294,0.000042,0.636364,0.784,n
0.352941,0.407407,0,0.045455,0.0625,0.021277,0.090164,0.077947,0.074899,0,0.207366,0.072527,0.636364,0.792,n
0.441176,0.333333,0,0.113636,0.0625,0.078014,0.032787,0.253832,0.111336,0.001508,0.175502,0.072527,0.636364,0.824,n
0.441176,0.555556,0.019231,0.113636,0.3125,0.262411,0.122951,0.059845,0.087045,0.036979,0.076534,0.000038,0.090909,0.928,y
0.323529,0.37037,0,0.022727,0,0.056738,0.016393,0.079549,0.080972,0.00336,0.199416,0.000038,0.636364,0.8,n
0.352941,0.592593,0.076923,0.045455,0.125,0.092199,0.098361,0.003816,0.129555,0.003502,0.278913,0.000038,0.636364,0.72,y
0.441176,0.592593,0.019231,0,0,0.028369,0.081967,0.046678,0.248988,0.003992,0.307815,0.000009,0,0.696,y
0.323529,0.185185,0.019231,0,0,0.021277,0.07377,0.124282,0.151822,0,0.183582,0.000009,0.636364,0.816,n
0.441176,0.259259,0,0,0,0.042553,0.106557,0.142257,0.095142,0,0.191467,0.000009,0.636364,0.808,n
0.294118,0.296296,0,0.068182,0,0.049645,0.02459,0.008039,0.184211,0,0.134164,0.000061,0.909091,0.864,n
0.382353,0.555556,0.153846,0,0,0.085106,0.008197,0.008835,0.076923,0,0.069826,0.000001,1,0.928,n
0.470588,0.592593,0,0.022727,0,0.042553,0.02459,0.045404,0.153846,0,0.038115,0.002483,1,0.96,y
0.735294,0.481481,0.076923,0.045455,0,0.163121,0.155738,0.096635,0.119433,0,0.152154,0.000006,0.636364,0.848,n
0.588235,0.37037,0,0.045455,0,0.06383,0.065574,0.033205,0.172065,0,0.247898,0.000137,0.545455,0.752,n
0.470588,0.407407,0,0,0.0625,0.014184,0.04918,0.0173,0.060729,0,0.181884,0.001478,0.909091,0.816,n
0.705882,0.555556,0,0,0,0.007092,0.02459,0.001101,0.016194,0,0.072374,0.000025,0.636364,0.928,n
0.470588,0.37037,0,0.25,0,0.007092,0.032787,0.000105,0.020243,0,0.074814,0.001697,0.272727,0.928,n
0.470588,0.333333,0,0.25,0,0.035461,0.081967,0.019133,0.15587,0,0.354467,0.001697,0.090909,0.648,y
0.529412,0.37037,0.019231,0,0,0.078014,0.02459,0.293434,0.101215,0,0.317158,0.000007,0.909091,0.68,y
0.735294,0.518519,0.019231,0.045455,0.0625,0.078014,0.057377,0.641355,0.072874,0,0.326458,0.000136,0.727273,0.672,n
0.529412,0.333333,0.019231,0.068182,0.0625,0.085106,0.057377,0.197899,0.095142,0,0.310602,0.001697,0.727273,0.688,n
0.352941,0.518519,0.019231,0.090909,0.0625,0.12766,0.02459,0.517091,0.036437,0,0.260139,0.000149,0,0.744,y
0.352941,0.407407,0.019231,0.159091,0,0.205674,0.016393,0.05299,0.093117,0,0.282811,0.00434,0.181818,0.72,y
0.5,0.444444,0,0.068182,0,0.049645,0.02459,0.151964,0.07085,0,0.296729,0.00434,0.454545,0.704,y
0.735294,0.740741,0.076923,0.022727,0.125,0.120567,0.032787,0.037073,0.082996,0,0.332513,0.008406,1,0.664,n
0.411765,0.222222,0.019231,0.045455,0,0.014184,0.663934,0.012076,0.074899,0,0.347606,0.004928,0,0.656,n
0.382353,0.407407,0.096154,0.045455,0,0.198582,0.02459,0.098931,0.05668,0,0.339221,0.004928,0,0.664,n
0.558824,0.518519,0,0,0.0625,0.085106,0.032787,0.105761,0.038462,0,0.268023,0.000237,0,0.736,y
0.411765,0.518519,0,0,0.3125,0.177305,0.008197,0.160965,0.01417,0.387071,0.291044,0.000044,0.090909,0.712,y
0.470588,0.333333,0,0.022727,0,0.148936,0.02459,0.041363,0.182186,0,0.059764,0.017857,0.181818,0.944,n
0.441176,0.555556,0,0,0,0.035461,0.016393,0.057793,0.139676,0,0.030644,0.000168,0.909091,0.968,n
0.5,0.333333,0,0,0,0.021277,0.090164,0.023457,0.050607,0,0.070436,0.000046,0.909091,0.928,n
0.352941,0.703704,0,0.022727,0,0.134752,0.02459,0.02373,0.293522,0,0.172431,0.000003,0,0.832,y
0.735294,0.703704,0,0.068182,0,0.007092,0.008197,0.007475,0.038462,0,0.294616,0.000233,0.727273,0.704,n
0.5,0.481481,0.153846,0.022727,0,0.170213,0.106557,0.069516,0.07085,0,0.179292,0.000233,0.181818,0.824,n
0.529412,0.777778,0.038462,0.022727,0,0.22695,0.02459,0.121005,0.107287,0,0.106503,0.000233,0.272727,0.896,y
0.411765,0.444444,0,0.068182,0,0.099291,0.155738,0.031348,0.087045,0,0.019972,0.000233,0.181818,0.984,n
0.411765,0.444444,0,0,0,0.099291,0.155738,0.031348,0.087045,0,0.019972,0.000233,0.181818,0.984,n
0.529412,0.592593,0.038462,0.204545,0,0.12766,0.008197,0.16272,0.1417,0,0.305266,0.000233,0.363636,0.696,n
0.176471,0.444444,0.076923,0.045455,0.0625,0.120567,0.147541,0.00633,0.230769,0,0.283312,0.000233,0.090909,0.72,y
0.470588,0.481481,0,0.159091,0,0.056738,0.040984,0.00345,0.159919,0,0.294246,0.000233,0.727273,0.704,n
0.470588,0.407407,0,0,0.0625,0.078014,0.065574,0.039186,0.246964,0,0.31914,0.000233,0.636364,0.68,n
0.294118,0.444444,0,0,0,0.056738,0.032787,0.000642,0.139676,0,0.259028,0.000233,0.090909,0.744,n
0.294118,0.333333,0.076923,0.181818,0.0625,0.198582,0.07377,0.000737,0.182186,0,0.173803,0.000233,0.909091,0.824,n
0.5,0.703704,0.038462,0.136364,0.0625,0.085106,0.139344,0.010599,0.251012,0,0.32844,0.000233,0.454545,0.672,n
0.264706,0.444444,0.096154,0.113636,0.0625,0.184397,0.04918,0.001711,0.208502,0,0.266651,0.000233,0.181818,0.736,n
0.294118,0.37037,0.480769,0.204545,0,0.404255,0.04918,0.012228,0.186235,0,0.215424,0.000233,0.636364,0.784,n
0.264706,0.296296,0,0.136364,0,0.007092,0.02459,0.01163,0.107287,0,0.150934,0.000233,0.727273,0.848,n
0.558824,0.518519,0.019231,0.113636,0,0.028369,0.065574,0.001456,0.192308,0,0.067692,0.000233,0.181818,0.936,n
0.705882,0.666667,0,0.022727,0.0625,0.049645,0.016393,0.025023,0.204453,0.20342,0.288452,0.000233,0.454545,0.712,n
0.264706,0.407407,0,0.045455,0,0,0.065574,0.000082,0.048583,0,0.09631,0.000117,0.636364,0.904,n
0.5,0.407407,0,0.045455,0,0,0.016393,0.000037,0.052632,0,0.09875,0.01489,0.272727,0.904,n
0.382353,0.481481,0,0.136364,0,0,0.02459,0.000283,0.046559,0,0.104238,0.147802,0.636364,0.896,n
0.323529,0.444444,0.057692,0.090909,0,0.042553,0.098361,0.010778,0.246964,0,0.094372,0.001016,0.909091,0.904,n
0.529412,0.555556,0,0,0,0.014184,0.065574,0.088524,0.105263,0,0.018905,0.000653,0.363636,0.984,n
0.235294,0.296296,0.038462,0.272727,0,0.028369,0.016393,0.012091,0.311741,0.149855,0.004726,0.003417,0.090909,1,y
0.352941,0.407407,0.019231,0.159091,0,0.085106,0.032787,0.022342,0.054656,0,0.209784,0.000956,0.363636,0.792,n
0.382353,0.185185,0,0.022727,0,0.035461,0,0.106739,0.216599,0,0.08309,0.000956,0.272727,0.92,n
0.382353,0.518519,0.019231,0.159091,0.0625,0.021277,0.07377,0.249366,0.109312,0,0.037352,0.263736,0,0.968,n
0.529412,0.555556,0,0.272727,0,0.007092,0.057377,0.046751,0.089069,0,0.04528,0.536813,0,0.96,n
0.558824,0.481481,0,0.159091,0,0.021277,0.081967,0.080528,0.020243,0,0.029425,0.000116,0,0.976,n
0.558824,0.666667,0.019231,0.022727,0,0.070922,0.163934,0.07071,0.038462,0,0.079736,0.001066,0.727273,0.92,n
0.823529,0.703704,0,0.204545,0,0,0.090164,0.0041,0.020243,0,0.056519,0.001066,0.636364,0.944,n
0.617647,0.555556,0,0.022727,0,0.014184,0.008197,0.005507,0.024291,0.009315,0.064447,0.001066,0.636364,0.936,n
0.441176,0.592593,0,0.295455,0,0.049645,0.008197,0.005765,0.080972,0,0.055952,0.001066,0.727273,0.944,n
0.5,0.777778,0,0,0,0.113475,0.02459,0.049024,0.048583,0,0.048025,0.000009,0.727273,0.952,y
0.529412,0.444444,0,0.340909,0,0.070922,0.032787,0.154207,0.153846,0,0.096049,0.928571,0.636364,0.904,n
0.588235,0.592593,0.019231,0.090909,0,0.035461,0.04918,0.005063,0.074899,0,0.077144,0.005769,0,0.928,n
0.470588,0.481481,0,0,0.25,0.085106,0.016393,0.07282,0.1417,0,0.071808,0.005769,0.727273,0.928,n
0.647059,0.555556,0,0.045455,0,0,0,0.000266,0.038462,0,0.040663,0.005769,0.636364,0.96,n
0.5,0.62963,0,0.090909,0,0.007092,0.057377,0.002876,0.034413,0,0.09631,0.056593,0.636364,0.904,n
0.5,0.62963,0,0.409091,0,0.007092,0.147541,0.006477,0.05668,0.003481,0.040097,0.065384,0.727273,0.96,n
0.529412,0.555556,0.038462,0.136364,0,0.056738,0.106557,0.140096,0.137652,0.000851,0.072113,0.001527,0.636364,0.928,n
0.764706,0.481481,0,0.136364,0,0.007092,0.065574,0.012253,0.024291,0,0.09067,0.001527,0.272727,0.912,n
